Strain;Species;Local;Phenotype Batch;Possition;Light intensity;Metal;Concentration;Growth compared to control;Replicate;InhibitionRAW;Running no;Inhibition
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;D3;200;Co;0;0.949831534;2;0.050168466;618;0.050168466
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;G3;168;Ni;5.331112037;0.946390145;3;0.053609855;638;0.053609855
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F2;180;Cu;1.929012346;0.943327153;1;0.056672847;695;0.056672847
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F8;160;Pb;51.2;0.908845625;2;0.091154375;563;0.091154375
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;G4;173;Zn;6.5536;0.902933468;2;0.097066532;656;0.097066532
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;G4;173;Zn;6.5536;0.898301292;3;0.101698708;662;0.101698708
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F3;189;Ag;39.50617284;0.884151181;3;0.115848819;684;0.115848819
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F8;160;Pb;51.2;0.882431881;3;0.117568119;569;0.117568119
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F3;189;Ag;39.50617284;0.862529286;1;0.137470714;672;0.137470714
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;G3;168;Ni;9.329446064;0.858448726;1;0.141551274;625;0.141551274
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;G4;173;Zn;6.5536;0.856928628;1;0.143071372;650;0.143071372
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;G3;168;Ni;9.329446064;0.830068548;2;0.169931452;631;0.169931452
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;E6;197;Cd;6.328125001;0.829701493;2;0.170298507;586;0.170298507
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;E6;197;Cd;6.328125001;0.824133288;1;0.175866712;580;0.175866712
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F3;189;Ag;39.50617284;0.819583642;2;0.180416358;678;0.180416358
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F8;160;Pb;64;0.815544949;3;0.184455051;568;0.184455051
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;G4;173;Zn;8.192;0.807017139;1;0.192982861;649;0.192982861
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;G3;168;Ni;9.329446064;0.805279225;3;0.194720775;637;0.194720775
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F8;160;Pb;64;0.803076984;2;0.196923016;562;0.196923016
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F2;180;Cu;1.929012346;0.79899269;3;0.20100731;707;0.20100731
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;E6;197;Cd;6.328125001;0.789368268;3;0.210631732;592;0.210631732
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F2;180;Cu;1.929012346;0.75697654;2;0.24302346;701;0.24302346
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F8;160;Pb;51.2;0.727838662;1;0.272161338;557;0.272161338
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;G4;173;Zn;8.192;0.726495839;2;0.273504161;655;0.273504161
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;G4;173;Zn;8.192;0.71997941;3;0.28002059;661;0.28002059
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F3;189;Ag;59.25925926;0.677758265;1;0.322241735;671;0.322241735
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F3;189;Ag;59.25925926;0.677033373;2;0.322966627;677;0.322966627
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F8;160;Pb;64;0.631938868;1;0.368061132;556;0.368061132
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F8;160;Pb;80;0.624180934;2;0.375819066;561;0.375819066
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;G3;168;Ni;16.32653061;0.623252154;2;0.376747846;630;0.376747846
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F3;189;Ag;59.25925926;0.619743124;3;0.380256876;683;0.380256876
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;E6;197;Cd;8.437500001;0.612137542;3;0.387862458;591;0.387862458
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;G3;168;Ni;16.32653061;0.597218531;1;0.402781469;624;0.402781469
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F8;160;Pb;80;0.582763501;3;0.417236499;567;0.417236499
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;E6;197;Cd;8.437500001;0.581940511;1;0.418059489;579;0.418059489
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F3;189;Ag;88.88888889;0.562798796;2;0.437201204;676;0.437201204
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F3;189;Ag;88.88888889;0.552453764;1;0.447546236;670;0.447546236
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;E6;197;Cd;8.437500001;0.550203727;2;0.449796273;585;0.449796273
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;G3;168;Ni;16.32653061;0.524998678;3;0.475001322;636;0.475001322
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;D3;200;Co;18.51851852;0.508630295;2;0.491369705;608;0.491369705
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;D3;200;Co;18.51851852;0.507533707;1;0.492466293;602;0.492466293
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F8;160;Pb;80;0.49648658;1;0.50351342;555;0.50351342
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F3;189;Ag;88.88888889;0.495227072;3;0.504772928;682;0.504772928
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F3;189;Ag;133.3333333;0.490914255;1;0.509085745;669;0.509085745
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F3;189;Ag;133.3333333;0.482124336;2;0.517875664;675;0.517875664
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;D3;200;Co;18.51851852;0.467825162;3;0.532174838;614;0.532174838
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;E6;197;Cd;11.25;0.438676452;2;0.561323548;584;0.561323548
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F3;189;Ag;133.3333333;0.428367043;3;0.571632957;681;0.571632957
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;G4;173;Zn;10.24;0.41930308;3;0.58069692;660;0.58069692
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;E6;197;Cd;11.25;0.417454014;1;0.582545986;578;0.582545986
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;E6;197;Cd;11.25;0.398604082;3;0.601395918;590;0.601395918
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;G4;173;Zn;10.24;0.397809419;1;0.602190581;648;0.602190581
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F2;180;Cu;2.314814815;0.386551882;1;0.613448118;694;0.613448118
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;E6;197;Cd;15;0.383561926;2;0.616438074;583;0.616438074
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F2;180;Cu;2.314814815;0.372167894;3;0.627832106;706;0.627832106
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;E6;197;Cd;15;0.371505234;1;0.628494766;577;0.628494766
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;E6;197;Cd;15;0.37057598;3;0.62942402;589;0.62942402
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;E6;197;Cd;20;0.368090892;2;0.631909108;582;0.631909108
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;G4;173;Zn;10.24;0.345775649;2;0.654224351;654;0.654224351
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F2;180;Cu;2.314814815;0.311498188;2;0.688501812;700;0.688501812
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;E6;197;Cd;20;0.297953062;3;0.702046938;588;0.702046938
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;E6;197;Cd;20;0.262649686;1;0.737350314;576;0.737350314
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F8;160;Pb;100;0.20616539;3;0.79383461;566;0.79383461
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F8;160;Pb;100;0.179021698;2;0.820978302;560;0.820978302
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;G3;168;Ni;28.57142857;0.170671926;1;0.829328074;623;0.829328074
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;D3;200;Co;55.55555556;0.16662255;2;0.83337745;607;0.83337745
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F3;189;Ag;200;0.135539065;3;0.864460935;680;0.864460935
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;D3;200;Co;55.55555556;0.129818902;3;0.870181098;613;0.870181098
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F8;160;Pb;100;0.126756076;1;0.873243924;554;0.873243924
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;G3;168;Ni;28.57142857;0.125271406;3;0.874728594;635;0.874728594
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F3;189;Ag;200;0.112765049;1;0.887234951;668;0.887234951
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;G3;168;Ni;28.57142857;0.109620105;2;0.890379895;629;0.890379895
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;D3;200;Co;55.55555556;0.109318457;1;0.890681543;601;0.890681543
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F8;160;Pb;125;0.030716939;3;0.969283061;565;0.969283061
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F3;189;Ag;200;0.026905386;2;0.973094614;674;0.973094614
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F8;160;Pb;125;-0.004131015;1;1.004131015;553;1
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;G3;168;Ni;50;-0.034472081;1;1.034472081;622;1
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;D3;200;Co;166.6666667;-0.060289939;2;1.060289939;606;1
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;G4;173;Zn;20;-0.070536931;1;1.070536931;645;1
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F8;160;Pb;125;-0.07447534;2;1.07447534;559;1
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;G3;168;Ni;50;-0.07790674;3;1.07790674;634;1
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;G4;173;Zn;12.8;-0.078131701;2;1.078131701;653;1
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;G4;173;Zn;12.8;-0.089084619;3;1.089084619;659;1
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;G4;173;Zn;12.8;-0.097066453;1;1.097066453;647;1
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;D3;200;Co;166.6666667;-0.107427449;1;1.107427449;600;1
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;G3;168;Ni;50;-0.109379304;2;1.109379304;628;1
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F2;180;Cu;2.777777778;-0.13728761;2;1.13728761;699;1
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;G4;173;Zn;16;-0.141639773;1;1.141639773;646;1
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;G4;173;Zn;20;-0.146411781;2;1.146411781;651;1
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F2;180;Cu;2.777777778;-0.174416393;3;1.174416393;705;1
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;D3;200;Co;166.6666667;-0.185508108;3;1.185508108;612;1
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;G4;173;Zn;16;-0.187719662;3;1.187719662;658;1
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;G4;173;Zn;16;-0.228331666;2;1.228331666;652;1
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;D3;200;Co;500;-0.258990212;2;1.258990212;605;1
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F2;180;Cu;2.777777778;-0.293225366;1;1.293225366;693;1
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F2;180;Cu;4;-0.310512694;2;1.310512694;697;1
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;G4;173;Zn;20;-0.371795523;3;1.371795523;657;1
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F2;180;Cu;4;-0.485993305;1;1.485993305;691;1
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F2;180;Cu;3.333333333;-0.485993305;1;1.485993305;692;1
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F2;180;Cu;3.333333333;-0.485993305;2;1.485993305;698;1
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F2;180;Cu;4;-0.485993305;3;1.485993305;703;1
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;F2;180;Cu;3.333333333;-0.485993305;3;1.485993305;704;1
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;D3;200;Co;500;-0.508574232;1;1.508574232;599;1
SM_GP2_4_19;S_marinoi;GP;Exp_ 4;D3;200;Co;500;-0.508574232;3;1.508574232;611;1
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F5;189;Ag;26.33744856;1.067757;3;-0.067757;777;-0.067757
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F6;182;Cu;1.607510288;1.064372393;1;-0.064372393;834;-0.064372393
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F5;189;Ag;0;1.051829343;4;-0.051829343;781;-0.051829343
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F5;189;Ag;26.33744856;1.05012637;2;-0.05012637;771;-0.05012637
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F5;189;Ag;26.33744856;1.045484279;1;-0.045484279;765;-0.045484279
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E7;185;Control;5;1.045281468;2;-0.045281468;905;-0.045281468
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F6;182;Cu;0;1.044705661;1;-0.044705661;847;-0.044705661
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F5;189;Ag;39.50617284;1.043679421;1;-0.043679421;764;-0.043679421
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E7;185;Control;5;1.041950812;1;-0.041950812;899;-0.041950812
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G6;168;Ni;3.046349735;1.038380192;2;-0.038380192;748;-0.038380192
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E3;200;Co;2.057613169;1.03827415;2;-0.03827415;886;-0.03827415
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E3;200;Co;0;1.038128736;4;-0.038128736;896;-0.038128736
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G6;168;Ni;3.046349735;1.033972307;1;-0.033972307;742;-0.033972307
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F5;189;Ag;39.50617284;1.033773873;3;-0.033773873;776;-0.033773873
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F5;189;Ag;39.50617284;1.033281617;2;-0.033281617;770;-0.033281617
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E3;200;Co;2.057613169;1.030440181;1;-0.030440181;880;-0.030440181
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E7;185;Control;0;1.030205944;5;-0.030205944;920;-0.030205944
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G6;168;Ni;0;1.029457839;4;-0.029457839;758;-0.029457839
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F4;195;Cd;4.746093751;1.029276253;1;-0.029276253;811;-0.029276253
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E7;185;Control;3;1.028105604;3;-0.028105604;913;-0.028105604
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E7;185;Control;4;1.024336042;1;-0.024336042;900;-0.024336042
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E3;200;Co;0;1.023772576;3;-0.023772576;895;-0.023772576
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G5;176;Zn;0;1.023292603;1;-0.023292603;801;-0.023292603
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E7;185;Control;1;1.022987161;2;-0.022987161;909;-0.022987161
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E7;185;Control;4;1.022671583;3;-0.022671583;912;-0.022671583
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E7;185;Control;0;1.018262081;1;-0.018262081;916;-0.018262081
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G2;163;Pb;0;1.01765757;4;-0.01765757;873;-0.01765757
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E7;185;Control;2;1.017619033;2;-0.017619033;908;-0.017619033
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E7;185;Control;4;1.01688153;2;-0.01688153;906;-0.01688153
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G5;176;Zn;0;1.015273226;3;-0.015273226;803;-0.015273226
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E7;185;Control;3;1.0152242;2;-0.0152242;907;-0.0152242
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F4;195;Cd;0;1.013362581;4;-0.013362581;827;-0.013362581
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F4;195;Cd;4.746093751;1.012708648;3;-0.012708648;823;-0.012708648
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G2;163;Pb;0;1.012684877;5;-0.012684877;874;-0.012684877
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G2;163;Pb;0;1.012379471;1;-0.012379471;870;-0.012379471
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E7;185;Control;0;1.011569136;2;-0.011569136;917;-0.011569136
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G6;168;Ni;0;1.011244982;5;-0.011244982;759;-0.011244982
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E3;200;Co;6.172839506;1.010161717;2;-0.010161717;885;-0.010161717
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F4;195;Cd;4.746093751;1.00863843;2;-0.00863843;817;-0.00863843
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F6;182;Cu;1.607510288;1.008034189;3;-0.008034189;846;-0.008034189
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E7;185;Control;1;1.006261067;1;-0.006261067;903;-0.006261067
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G6;168;Ni;3.046349735;1.006089646;3;-0.006089646;754;-0.006089646
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E7;185;Control;6;1.005925026;2;-0.005925026;904;-0.005925026
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F4;195;Cd;0;1.005189141;1;-0.005189141;824;-0.005189141
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F5;189;Ag;0;1.004886416;2;-0.004886416;779;-0.004886416
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E7;185;Control;6;1.00430726;1;-0.00430726;898;-0.00430726
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G6;168;Ni;0;1.002687665;1;-0.002687665;755;-0.002687665
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E7;185;Control;0;1.002640628;4;-0.002640628;919;-0.002640628
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F4;195;Cd;0;1.002361383;5;-0.002361383;828;-0.002361383
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G5;176;Zn;0;1.002188733;5;-0.002188733;805;-0.002188733
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E7;185;Control;2;0.996876099;1;0.003123901;902;0.003123901
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E3;200;Co;6.172839506;0.996216777;3;0.003783223;891;0.003783223
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F6;182;Cu;0;0.995936525;4;0.004063475;850;0.004063475
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G2;163;Pb;40.96;0.993894626;2;0.006105374;863;0.006105374
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F6;182;Cu;0;0.992199808;5;0.007800192;851;0.007800192
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F4;195;Cd;0;0.991291612;3;0.008708388;826;0.008708388
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F5;189;Ag;0;0.99115724;1;0.00884276;778;0.00884276
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F6;182;Cu;1.929012346;0.98898006;3;0.01101994;845;0.01101994
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G5;176;Zn;0;0.988803063;4;0.011196937;804;0.011196937
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G2;163;Pb;0;0.988796648;3;0.011203352;872;0.011203352
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E7;185;Control;2;0.987706572;3;0.012293428;914;0.012293428
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E7;185;Control;1;0.987250203;3;0.012749797;915;0.012749797
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F4;195;Cd;0;0.986449868;2;0.013550132;825;0.013550132
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E3;200;Co;0;0.98641048;5;0.01358952;897;0.01358952
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F5;189;Ag;59.25925926;0.983679674;1;0.016320326;763;0.016320326
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G6;168;Ni;0;0.983615361;3;0.016384639;757;0.016384639
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E3;200;Co;6.172839506;0.983200728;1;0.016799272;879;0.016799272
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F6;182;Cu;0;0.982160215;2;0.017839785;848;0.017839785
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E7;185;Control;5;0.981031877;3;0.018968123;911;0.018968123
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E3;200;Co;0;0.979037732;2;0.020962268;894;0.020962268
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E7;185;Control;3;0.978878419;1;0.021121581;901;0.021121581
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F6;182;Cu;1.607510288;0.976916429;2;0.023083571;840;0.023083571
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F6;182;Cu;0;0.976552429;3;0.023447571;849;0.023447571
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F5;189;Ag;0;0.975475218;3;0.024524782;780;0.024524782
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G6;168;Ni;0;0.966527749;2;0.033472251;756;0.033472251
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G5;176;Zn;6.5536;0.965882918;1;0.034117082;788;0.034117082
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G2;163;Pb;40.96;0.965457142;1;0.034542858;857;0.034542858
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G5;176;Zn;0;0.964755512;2;0.035244488;802;0.035244488
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E3;200;Co;2.057613169;0.964462564;3;0.035537436;892;0.035537436
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F5;189;Ag;0;0.963108881;5;0.036891119;782;0.036891119
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G2;163;Pb;0;0.96274712;2;0.03725288;871;0.03725288
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E3;200;Co;0;0.960908426;1;0.039091574;893;0.039091574
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G6;168;Ni;5.331112037;0.960667158;2;0.039332842;747;0.039332842
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G6;168;Ni;5.331112037;0.955904901;3;0.044095099;753;0.044095099
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G2;163;Pb;40.96;0.953241566;3;0.046758434;869;0.046758434
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F6;182;Cu;1.929012346;0.94848997;1;0.05151003;833;0.05151003
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G5;176;Zn;6.5536;0.940595025;2;0.059404975;794;0.059404975
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F5;189;Ag;59.25925926;0.938598747;3;0.061401253;775;0.061401253
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F6;182;Cu;1.929012346;0.936425457;2;0.063574543;839;0.063574543
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E7;185;Control;6;0.934165956;3;0.065834044;910;0.065834044
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E7;185;Control;0;0.916829639;3;0.083170361;918;0.083170361
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F5;189;Ag;59.25925926;0.912594087;2;0.087405913;769;0.087405913
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G6;168;Ni;5.331112037;0.91232337;1;0.08767663;741;0.08767663
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G5;176;Zn;6.5536;0.907415483;3;0.092584517;800;0.092584517
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G2;163;Pb;51.2;0.903034662;1;0.096965338;856;0.096965338
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G2;163;Pb;51.2;0.900871446;3;0.099128554;868;0.099128554
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G2;163;Pb;51.2;0.881578135;2;0.118421865;862;0.118421865
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G2;163;Pb;64;0.824856373;2;0.175143627;861;0.175143627
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G2;163;Pb;64;0.82395616;1;0.17604384;855;0.17604384
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G2;163;Pb;64;0.820359981;3;0.179640019;867;0.179640019
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G5;176;Zn;8.192;0.79884451;1;0.20115549;787;0.20115549
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G5;176;Zn;8.192;0.788226701;2;0.211773299;793;0.211773299
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E3;200;Co;18.51851852;0.762243955;1;0.237756045;878;0.237756045
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F6;182;Cu;2.314814815;0.76048768;1;0.23951232;832;0.23951232
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F4;195;Cd;6.328125001;0.742766605;1;0.257233395;810;0.257233395
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E3;200;Co;18.51851852;0.740853896;3;0.259146104;890;0.259146104
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F4;195;Cd;6.328125001;0.738038049;3;0.261961951;822;0.261961951
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;E3;200;Co;18.51851852;0.737317094;2;0.262682906;884;0.262682906
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G5;176;Zn;8.192;0.733933404;3;0.266066596;799;0.266066596
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F4;195;Cd;6.328125001;0.726394271;2;0.273605729;816;0.273605729
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F6;182;Cu;2.314814815;0.71615662;3;0.28384338;844;0.28384338
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F6;182;Cu;2.314814815;0.665053278;2;0.334946722;838;0.334946722
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;F4;195;Cd;8.437500001;0.621486822;1;0.378513178;809;0.378513178
SM_GP2_4_20;S_marinoi;GP;Exp_ 4;G2;163;Pb;80;0.604874284;3;0.395125716;866;0.395125716
