CASnr;ParKod;Parameter;Matris;Value;Status;Enhet;ProvId;UndersId;Undersökning;Provplats;X-Koord;Y-Koord;Kommunnr;Länskod;Vattendistr;StationTyp;Typmiljö;OriginalId;Provtid;Djup;Livsmedel;Provtyp;Belastningstyp;Storlek;Fraktion;Sediment övre;Sediment undre;Slamtyp;Vattenfraktion;Vattentyp;Art;Art(lat);Ålder;Längd;Vikt;Torrvikt%;Fetthalt%;Antal;Kön;Organ;Typ;Analysdatum
7440-50-8;CU;copper;VATTEN;7.2;;µg/l;10845;125;Miljöövervakning av utgående avloppsvatten 2011;Öns reningsverk;7085035;1721031;2480;AC;;Urban;;MPR-3542_6;2011-10-10;;;sam;mix;129000;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;3.1;;µg/l;10846;125;Miljöövervakning av utgående avloppsvatten 2011;Bollebygds reningsverk;6397660;1304896;;O;;Urban;;MPR-3542_7;2011-10-11;;;sam;dom;3700;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;7.4;;µg/l;10847;125;Miljöövervakning av utgående avloppsvatten 2011;Borlänge reningsverk;6684919;1471693;2081;W;;Urban;;MPR-3542_10;2011-10-18;;;sam;mix;25000;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;4.4;;µg/l;10848;125;Miljöövervakning av utgående avloppsvatten 2011;Bergkvara reningsverk;6233238;1544795;;H;;Urban;;MPR-3542_9;2012-02-06;;;sam;dom;2500;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;5.4;;µg/l;9993;107;Miljöövervakning av utgående avloppsvatten;Ellinge reningsverk;6191028;1343097;1285;M;;Urban;;MPR-3433_7;2010-09-22;;;sam;ind;74000;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;3.7;;µg/l;9994;107;Miljöövervakning av utgående avloppsvatten;Öns reningsverk;7085035;1721031;2480;AC;;Urban;;MPR-3433_3;2010-09-21;;;sam;mix;129000;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;2.4;;µg/l;9995;107;Miljöövervakning av utgående avloppsvatten;Bollebygds reningsverk;6397660;1304896;1443;O;;Urban;;MPR-3433_8;2010-09-27;;;sam;dom;3700;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;7.3;;µg/l;9996;107;Miljöövervakning av utgående avloppsvatten;Borlänge reningsverk;6684919;1471693;2081;W;;Urban;;MPR-3433_9;2010-09-27;;;sam;mix;25000;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;2.8;;µg/l;9997;107;Miljöövervakning av utgående avloppsvatten;Bergkvara reningsverk;6233238;1544795;834;H;;Urban;;MPR-3433_11;2010-09-27;;;sam;dom;2500;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;9.8;;µg/l;12956;159;Miljöövervakning av utgående avloppsvatten 2012-2013;Bergkvara reningsverk;6233238;1544795;;H;;Urban;;MPR-3551_11_Aq;2013-04-08;;;sam;dom;2500;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;14;;µg/l;12957;159;Miljöövervakning av utgående avloppsvatten 2012-2013;Ryaverket;6403597;1266630;1480;O;;Urban;;MPR-3601_1_Aq;2013-10-01;;;sam;mix;640000;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;19;;µg/l;12958;159;Miljöövervakning av utgående avloppsvatten 2012-2013;Nolhaga reningsverk;6427705;1305269;1489;O;;Urban;;MPR-3601_2_Aq;2013-09-24;;;sam;mix;27000;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;8.5;;µg/l;12959;159;Miljöövervakning av utgående avloppsvatten 2012-2013;Öns reningsverk;7085035;1721031;2480;AC;;Urban;;MPR-3601_3_Aq;2013-09-30;;;sam;mix;129000;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;4.5;;µg/l;12960;159;Miljöövervakning av utgående avloppsvatten 2012-2013;Henriksdals reningsverk;6578810;1631123;180;AB;;Urban;;MPR-3601_4_Aq;2013-10-07;;;sam;mix;656000;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;8.5;;µg/l;12961;159;Miljöövervakning av utgående avloppsvatten 2012-2013;Gässlösa reningsverk;6401371;1328659;1490;O;;Urban;;MPR-3601_5_Aq;2013-09-30;;;sam;mix;73000;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;7;;µg/l;12962;159;Miljöövervakning av utgående avloppsvatten 2012-2013;Ellinge reningsverk;6191028;1343097;1285;M;;Urban;;MPR-3601_6_Aq;2013-09-25;;;sam;ind;74000;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;7.3;;µg/l;12963;159;Miljöövervakning av utgående avloppsvatten 2012-2013;Bollebygds reningsverk;6397660;1304896;;O;;Urban;;MPR-3601_8_Aq;2013-10-08;;;sam;dom;3700;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;9.9;;µg/l;12964;159;Miljöövervakning av utgående avloppsvatten 2012-2013;Borlänge reningsverk;6684919;1471693;2081;W;;Urban;;MPR-3601_9_Aq;2013-09-24;;;sam;mix;25000;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;10;;µg/l;12965;159;Miljöövervakning av utgående avloppsvatten 2012-2013;Bergkvara reningsverk;6233238;1544795;;H;;Urban;;MPR-3601_11_Aq;2013-10-23;;;sam;dom;2500;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;18;;µg/l;13306;170;Miljöövervakning av utgående avloppsvatten 2014;Ryaverket;6403597;1266630;1480;O;;Urban;;MPR-3624_1_Aq;2014-09-21;;;sam;mix;640000;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;11;;µg/l;13307;170;Miljöövervakning av utgående avloppsvatten 2014;Nolhaga reningsverk;6427705;1305269;1489;O;;Urban;;MPR-3624_2_Aq;2014-09-15;;;sam;mix;27000;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;6.5;;µg/l;13308;170;Miljöövervakning av utgående avloppsvatten 2014;Öns reningsverk;7085035;1721031;2480;AC;;Urban;;MPR-3624_3_Aq;2014-09-03;;;sam;mix;129000;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;7.8;;µg/l;13309;170;Miljöövervakning av utgående avloppsvatten 2014;Henriksdals reningsverk;6578810;1631123;180;AB;;Urban;;MPR-3624_4_Aq;2014-09-15;;;sam;mix;656000;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;8.5;;µg/l;13310;170;Miljöövervakning av utgående avloppsvatten 2014;Gässlösa reningsverk;6401371;1328659;1490;O;;Urban;;MPR-3624_5_Aq;2014-09-15;;;sam;mix;73000;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;7;;µg/l;13311;170;Miljöövervakning av utgående avloppsvatten 2014;Ellinge reningsverk;6191028;1343097;1285;M;;Urban;;MPR-3624_6_Aq;2014-09-16;;;sam;ind;74000;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;8.4;;µg/l;13312;170;Miljöövervakning av utgående avloppsvatten 2014;Bollebygds reningsverk;6397660;1304896;1443;O;;Urban;;MPR-3624_8_Aq;2014-10-06;;;sam;dom;3700;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;10;;µg/l;12948;159;Miljöövervakning av utgående avloppsvatten 2012-2013;Ryaverket;6403597;1266630;1480;O;;Urban;;MPR-3551_1_Aq;2012-11-26;;;sam;mix;640000;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;7.4;;µg/l;12949;159;Miljöövervakning av utgående avloppsvatten 2012-2013;Nolhaga reningsverk;6427705;1305269;1489;O;;Urban;;MPR-3551_2_Aq;2012-10-23;;;sam;mix;27000;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;3.9;;µg/l;12950;159;Miljöövervakning av utgående avloppsvatten 2012-2013;Öns reningsverk;7085035;1721031;2480;AC;;Urban;;MPR-3551_3_Aq;2012-10-22;;;sam;mix;129000;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;5.7;;µg/l;12951;159;Miljöövervakning av utgående avloppsvatten 2012-2013;Henriksdals reningsverk;6578810;1631123;180;AB;;Urban;;MPR-3551_4_Aq;2012-10-22;;;sam;mix;656000;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;3.7;;µg/l;12952;159;Miljöövervakning av utgående avloppsvatten 2012-2013;Gässlösa reningsverk;6401371;1328659;1490;O;;Urban;;MPR-3551_5_Aq;2012-11-05;;;sam;mix;73000;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;8.5;;µg/l;12953;159;Miljöövervakning av utgående avloppsvatten 2012-2013;Ellinge reningsverk;6191028;1343097;1285;M;;Urban;;MPR-3551_6_Aq;2012-10-22;;;sam;ind;74000;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;12;;µg/l;12954;159;Miljöövervakning av utgående avloppsvatten 2012-2013;Bollebygds reningsverk;6397660;1304896;;O;;Urban;;MPR-3551_8_Aq;2012-10-22;;;sam;dom;3700;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;10;;µg/l;12955;159;Miljöövervakning av utgående avloppsvatten 2012-2013;Borlänge reningsverk;6684919;1471693;2081;W;;Urban;;MPR-3551_9_Aq;2012-10-20;;;sam;mix;25000;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;6.3;;µg/l;13314;170;Miljöövervakning av utgående avloppsvatten 2014;Bergkvara reningsverk;6250896;1517640;834;H;;Urban;;MPR-3624_11_Aq;2014-10-28;;;sam;dom;2500;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;1.5;;µg/l;1351;16;Monitoring av biocider från båtbottenfärger;Bullandö marina;6578470;1662020;120;B;;Punktkälla;;;2004-04-07;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;1.9;;µg/l;1352;16;Monitoring av biocider från båtbottenfärger;Bullandö marina;6578470;1662020;120;B;;Punktkälla;;;2004-04-28;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;1.7;;µg/l;1353;16;Monitoring av biocider från båtbottenfärger;Bullandö marina;6578470;1662020;120;B;;Punktkälla;;;2004-05-26;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;2.3;;µg/l;1354;16;Monitoring av biocider från båtbottenfärger;Bullandö marina;6578470;1662020;120;B;;Punktkälla;;;2004-06-09;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;3.5;;µg/l;1355;16;Monitoring av biocider från båtbottenfärger;Bullandö marina;6578470;1662020;120;B;;Punktkälla;;;2004-06-30;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;2.3;;µg/l;1356;16;Monitoring av biocider från båtbottenfärger;Bullandö marina;6578470;1662020;120;B;;Punktkälla;;;2004-07-21;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;6.6;;µg/l;1357;16;Monitoring av biocider från båtbottenfärger;Bullandö marina;6578470;1662020;120;B;;Punktkälla;;;2004-08-18;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;1.9;;µg/l;1358;16;Monitoring av biocider från båtbottenfärger;Bullandö marina;6578470;1662020;120;B;;Punktkälla;;;2004-09-16;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;1.7;;µg/l;1359;16;Monitoring av biocider från båtbottenfärger;Bullandö marina;6578470;1662020;120;B;;Punktkälla;;;2004-09-28;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;1.8;;µg/l;1360;16;Monitoring av biocider från båtbottenfärger;Bullandö marina;6578470;1662020;120;B;;Punktkälla;;;2004-11-02;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;1.5;;µg/l;1361;16;Monitoring av biocider från båtbottenfärger;Fjärden utanför marinan;6578190;1662450;120;B;;Urb bakgr;;;2004-04-07;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;1.8;;µg/l;1362;16;Monitoring av biocider från båtbottenfärger;Fjärden utanför marinan;6578190;1662450;120;B;;Urb bakgr;;;2004-04-28;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;1.4;;µg/l;1363;16;Monitoring av biocider från båtbottenfärger;Fjärden utanför marinan;6578190;1662450;120;B;;Urb bakgr;;;2004-05-26;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;1.2;;µg/l;1364;16;Monitoring av biocider från båtbottenfärger;Fjärden utanför marinan;6578190;1662450;120;B;;Urb bakgr;;;2004-06-09;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;1.4;;µg/l;1365;16;Monitoring av biocider från båtbottenfärger;Fjärden utanför marinan;6578190;1662450;120;B;;Urb bakgr;;;2004-06-30;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;1.1;;µg/l;1366;16;Monitoring av biocider från båtbottenfärger;Fjärden utanför marinan;6578190;1662450;120;B;;Urb bakgr;;;2004-07-21;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;2;;µg/l;1367;16;Monitoring av biocider från båtbottenfärger;Fjärden utanför marinan;6578190;1662450;120;B;;Urb bakgr;;;2004-08-18;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;2.1;;µg/l;1368;16;Monitoring av biocider från båtbottenfärger;Fjärden utanför marinan;6578190;1662450;120;B;;Urb bakgr;;;2004-09-16;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;1.3;;µg/l;1369;16;Monitoring av biocider från båtbottenfärger;Fjärden utanför marinan;6578190;1662450;120;B;;Urb bakgr;;;2004-09-28;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;1.4;;µg/l;1370;16;Monitoring av biocider från båtbottenfärger;Fjärden utanför marinan;6578190;1662450;120;B;;Urb bakgr;;;2004-11-02;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;1.1;;µg/l;1371;16;Monitoring av biocider från båtbottenfärger;Naturhamnen vid Säck;6589310;1670010;120;B;;Punktkälla;;;2004-04-07;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;2.4;;µg/l;1372;16;Monitoring av biocider från båtbottenfärger;Naturhamnen vid Säck;6589310;1670010;120;B;;Punktkälla;;;2004-04-28;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;0.85;;µg/l;1373;16;Monitoring av biocider från båtbottenfärger;Naturhamnen vid Säck;6589310;1670010;120;B;;Punktkälla;;;2004-05-26;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;0.86;;µg/l;1374;16;Monitoring av biocider från båtbottenfärger;Naturhamnen vid Säck;6589310;1670010;120;B;;Punktkälla;;;2004-06-09;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;0.73;;µg/l;1375;16;Monitoring av biocider från båtbottenfärger;Naturhamnen vid Säck;6589310;1670010;120;B;;Punktkälla;;;2004-06-30;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;1.8;;µg/l;1376;16;Monitoring av biocider från båtbottenfärger;Naturhamnen vid Säck;6589310;1670010;120;B;;Punktkälla;;;2004-07-21;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;5.7;;µg/l;1377;16;Monitoring av biocider från båtbottenfärger;Naturhamnen vid Säck;6589310;1670010;120;B;;Punktkälla;;;2004-08-18;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;1.6;;µg/l;1378;16;Monitoring av biocider från båtbottenfärger;Naturhamnen vid Säck;6589310;1670010;120;B;;Punktkälla;;;2004-09-16;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;0.78;;µg/l;1379;16;Monitoring av biocider från båtbottenfärger;Naturhamnen vid Säck;6589310;1670010;120;B;;Punktkälla;;;2004-09-28;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;0.83;;µg/l;1380;16;Monitoring av biocider från båtbottenfärger;Naturhamnen vid Säck;6589310;1670010;120;B;;Punktkälla;;;2004-11-02;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;1.3;;µg/l;1381;16;Monitoring av biocider från båtbottenfärger;Fjärdgrundet;6590300;1665450;120;B;;Bakgrund;;;2004-04-07;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;1.1;;µg/l;1382;16;Monitoring av biocider från båtbottenfärger;Fjärdgrundet;6590300;1665450;120;B;;Bakgrund;;;2004-04-28;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;0.95;;µg/l;1383;16;Monitoring av biocider från båtbottenfärger;Fjärdgrundet;6590300;1665450;120;B;;Bakgrund;;;2004-05-26;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;1.2;;µg/l;1384;16;Monitoring av biocider från båtbottenfärger;Fjärdgrundet;6590300;1665450;120;B;;Bakgrund;;;2004-06-09;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;0.72;;µg/l;1385;16;Monitoring av biocider från båtbottenfärger;Fjärdgrundet;6590300;1665450;120;B;;Bakgrund;;;2004-06-30;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;1.3;;µg/l;1386;16;Monitoring av biocider från båtbottenfärger;Fjärdgrundet;6590300;1665450;120;B;;Bakgrund;;;2004-07-21;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;1.7;;µg/l;1387;16;Monitoring av biocider från båtbottenfärger;Fjärdgrundet;6590300;1665450;120;B;;Bakgrund;;;2004-08-18;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;0.95;;µg/l;1388;16;Monitoring av biocider från båtbottenfärger;Fjärdgrundet;6590300;1665450;120;B;;Bakgrund;;;2004-09-16;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;0.65;;µg/l;1389;16;Monitoring av biocider från båtbottenfärger;Fjärdgrundet;6590300;1665450;120;B;;Bakgrund;;;2004-09-28;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;0.9;;µg/l;1390;16;Monitoring av biocider från båtbottenfärger;Fjärdgrundet;6590300;1665450;120;B;;Bakgrund;;;2004-11-02;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;0.043;;µg/l;4620;39;Nationell screening, 2007, Nationwide screening of WFD priority substances;Gothemsån utlopp Y07;6391370;1676270;980;I;SE4;Urb bakgr;;125107;2006-01-01;;;;;;;;;;dgt;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;0.71;;µg/l;4621;39;Nationell screening, 2007, Nationwide screening of WFD priority substances;Visby reningsverk p6;6391515;1647282;980;I;SE4;Urb bakgr;;125108;2006-01-01;;;;;;;;;;dgt;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;0.093;;µg/l;4636;39;Nationell screening, 2007, Nationwide screening of WFD priority substances;Mässingsboån, jordbruk;6685189;1507165;2083;W;SE2;Urb bakgr;;122738;2006-01-01;;;;;;;;;;dgt;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;0.018;;µg/l;4638;39;Nationell screening, 2007, Nationwide screening of WFD priority substances;Tandån, avloppsrecipient;6785464;1338279;2023;W;SE5;Urb bakgr;;122740;2006-01-01;;;;;;;;;;dgt;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;0.031;;µg/l;4639;39;Nationell screening, 2007, Nationwide screening of WFD priority substances;Stråfulan, referens;6848724;1332174;2039;W;SE2;Bakgrund;;122739;2006-01-01;;;;;;;;;;dgt;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;0.1;;µg/l;4640;39;Nationell screening, 2007, Nationwide screening of WFD priority substances;Långhag;6697654;1495005;2082;W;SE2;Urb bakgr;;122736;2006-01-01;;;;;;;;;;dgt;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;0.33;;µg/l;4641;39;Nationell screening, 2007, Nationwide screening of WFD priority substances;Näs Bruk;6673269;1537050;2084;W;SE2;Urb bakgr;;122737;2006-01-01;;;;;;;;;;dgt;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;0.37;;µg/l;4642;39;Nationell screening, 2007, Nationwide screening of WFD priority substances;Svartån, industri;6666705;1523875;2084;W;SE2;Punktkälla;;122735;2006-01-01;;;;;;;;;;dgt;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;0.09;;µg/l;4657;39;Nationell screening, 2007, Nationwide screening of WFD priority substances;Motala Ström, utlopp Bråviken;6496841;1522537;581;E;SE4;Punktkälla;;122578;2006-01-01;;;;;;;;;;dgt;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;0.29;;µg/l;4658;39;Nationell screening, 2007, Nationwide screening of WFD priority substances;Stångån, utlopp Roxen;6480209;1489357;580;E;SE4;Punktkälla;;127304;2006-01-01;;;;;;;;;;dgt;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;0.089;;µg/l;4659;39;Nationell screening, 2007, Nationwide screening of WFD priority substances;Svartån, utlopp Roxen;6481413;1483960;580;E;SE4;Punktkälla;;122639;2006-01-01;;;;;;;;;;dgt;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;0.42;;µg/l;4660;39;Nationell screening, 2007, Nationwide screening of WFD priority substances;Dovern, utlopp Glan;6502592;1502982;562;E;SE4;Punktkälla;;122640;2006-01-01;;;;;;;;;;dgt;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;0.89;;µg/l;4661;39;Nationell screening, 2007, Nationwide screening of WFD priority substances;Kallholmsfjärden;7185674;1761493;2482;AC;SE1;Urb bakgr;;124901;2006-01-01;;;;;;;;;;dgt;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;13;;µg/l;4662;39;Nationell screening, 2007, Nationwide screening of WFD priority substances;Vormbäcken;7221728;1633886;2418;AC;SE1;Punktkälla;;126043;2006-01-01;;;;;;;;;;dgt;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;0.064;;µg/l;4663;39;Nationell screening, 2007, Nationwide screening of WFD priority substances;Nedre Umeälven;7082582;1721975;2480;AC;SE1;Punktkälla;;131028;2006-01-01;;;;;;;;;;dgt;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;0.13;;µg/l;4671;39;Nationell screening, 2007, Nationwide screening of WFD priority substances;Stockvik - Akzo;6915163;1581268;2281;Y;SE2;Punktkälla;;126042;2006-01-01;;;;;;;;;;dgt;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;0.12;;µg/l;4677;39;Nationell screening, 2007, Nationwide screening of WFD priority substances;Ursviksfjärden, uppströms;7189165;1754327;2482;AC;SE1;Urb bakgr;;124903;2006-01-01;;;;;;;;;;dgt;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;0.15;;µg/l;4678;39;Nationell screening, 2007, Nationwide screening of WFD priority substances;Ursviksfjärden, nedströms;7188780;1755182;2482;AC;SE1;Punktkälla;;124902;2006-01-01;;;;;;;;;;dgt;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;0.37;;µg/l;4679;39;Nationell screening, 2007, Nationwide screening of WFD priority substances;Örefjärden;7050331;1698018;2480;AC;SE1;Bakgrund;;125109;2006-01-01;;;;;;;;;;dgt;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;0.29;;µg/l;4685;39;Nationell screening, 2007, Nationwide screening of WFD priority substances;Göta Älv - Ringön;6406196;1272548;1480;O;SE5;Punktkälla;;126910;2006-01-01;;;;;;;;;;dgt;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;11;;µg/l;13313;170;Miljöövervakning av utgående avloppsvatten 2014;Borlänge reningsverk;6705992;1482720;2081;W;;Urban;;MPR-3624_9_Aq;2014-09-15;;;sam;mix;25000;;;;;;Utgående;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;8.9;;µg/l;717;11;Nationell screening, 2001, Diantimontrioxid;Normlösa;6477200;1466200;586;E;;;;Sb-79;2001-11-14;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;42;;µg/l;720;11;Nationell screening, 2001, Diantimontrioxid;Rimbo reningsverk;6627521;1644573;188;AB;;;;Sb-76;2001-11-12;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;150;;µg/l;731;11;Nationell screening, 2001, Diantimontrioxid;Normlösa;6477200;1466200;586;E;;;;Sb-80;2001-11-14;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;16;;µg/l;734;11;Nationell screening, 2001, Diantimontrioxid;Rimbo reningsverk;6627521;1644573;188;AB;;;;Sb-77;2001-11-12;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;14;;µg/l;4828;41;Nationell screening, 2007, Platinum group metals;Hanveden;6558715;1632251;;AB;;;;U10301024;2006-01-01;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;27;;µg/l;4829;41;Nationell screening, 2007, Platinum group metals;Sorbusdammen;6580309;1624959;;AB;;;;U10301021;2006-01-01;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;25;;µg/l;4830;41;Nationell screening, 2007, Platinum group metals;Linnéaholm;6586293;1625378;;AB;;;;U10301022;2006-01-01;;;;;;;;;;;;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;1.5;;µg/l;12210;146;Occurrence of additional WFD priority substances in Sweden;Edeboviken 1 Hallstavik;6664839;1654849;;AB;;;KUST;SW08;2013-05-01;;;;;;;;;;;Ytvatten;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;1.8;;µg/l;12211;146;Occurrence of additional WFD priority substances in Sweden;Edeboviken 2 Hallstavik;6664041;1655007;;AB;;;KUST;SW09;2012-11-01;;;;;;;;;;;Ytvatten;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;2;;µg/l;12212;146;Occurrence of additional WFD priority substances in Sweden;Edeboviken 3 Hallstavik;6663519;1655019;;AB;;;KUST;SW10;2012-11-01;;;;;;;;;;;Ytvatten;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;2.5;;µg/l;12213;146;Occurrence of additional WFD priority substances in Sweden;Edeboviken 4 Hallstavik;6662983;1655116;;AB;;;KUST;SW11;2012-11-01;;;;;;;;;;;Ytvatten;;;;;;;;;;;;
7440-50-8;CU;copper;VATTEN;0.13;;µg/l;4686;39;Nationell screening, 2007, Nationwide screening of WFD priority substances;Emån utlopp, Ems herrgård;6334000;1542200;882;H;SE4;Urb bakgr;;126906;2006-01-01;;;;;;;;;;dgt;;;;;;;;;;;;;
