MPROG;PURPM;Country;RLABO;STATN;MYEAR;DATE;Latitude;Longitude;Species;SEXCO;NOINP;DEPHU;DEPHL;MATRX;NODIS;PARGROUP;PARAM;BASIS;QFLAG;Value;MUNIT;VFLAG;DETLI;LMQNT;UNCRT;METCU;ALABO;REFSK;METST;METPT;METPS;METFP;METCX;METOA;FORML;Test Organism;SMTYP;FINFL;SUBNO;BULKID;tblAnalysisID;tblParamID;tblSampleID
COMB;;Lithuania;MRLT;K41;2007;08/03/2007;55.31166667;20.95666667;;;;10;;BF;;I-MET;ZN;W;<~Q;51.5;ug/l;;;51.5;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288484;318550
COMB;;Lithuania;MRLT;K41;2007;08/03/2007;55.31166667;20.95666667;;;;10;;BF;;I-MET;PB;W;<~Q;1.33;ug/l;;;1.33;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288481;318550
COMB;;Lithuania;MRLT;K41;2007;08/03/2007;55.31166667;20.95666667;;;;10;;BF;;I-MET;CR;W;<~Q;2.69;ug/l;;;2.69;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288485;318550
COMB;;Lithuania;MRLT;K32;2007;08/03/2007;55.55833333;21.07833333;;;;1;;BF;;I-MET;CU;W;<~Q;4.83;ug/l;;;4.83;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288494;318552
COMB;;Lithuania;MRLT;K32;2007;08/03/2007;55.55833333;21.07833333;;;;1;;BF;;I-MET;PB;W;<~Q;1.33;ug/l;;;1.33;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288493;318552
COMB;;Lithuania;MRLT;K32;2007;08/03/2007;55.55833333;21.07833333;;;;1;;BF;;I-MET;ZN;W;<~Q;51.5;ug/l;;;51.5;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288496;318552
COMB;;Lithuania;MRLT;K32;2007;08/03/2007;55.55833333;21.07833333;;;;1;;BF;;I-MET;CR;W;<~Q;2.69;ug/l;;;2.69;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288497;318552
COMB;;Lithuania;MRLT;K32;2007;08/03/2007;55.55833333;21.07833333;;;;1;;BF;;I-MET;HG;W;<~Q;0.04;ug/l;;;0.04;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288492;318552
COMB;;Lithuania;MRLT;K32;2007;08/03/2007;55.55833333;21.07833333;;;;1;;BF;;I-MET;CD;W;<~Q;0.08;ug/l;;;0.31;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288495;318552
COMB;;Lithuania;MRLT;K41;2007;16/05/2007;55.31166667;20.95666667;;;;1;;BF;;I-MET;HG;W;<~Q;0.04;ug/l;;;0.04;;;MRLT;ISO6468:1996;RF;NF;GC;NON;HX;GC-ECD;;;NAN;;;;58277;21288522;318557
