MPROG;PURPM;Country;RLABO;STATN;MYEAR;DATE;Latitude;Longitude;Species;SEXCO;NOINP;DEPHU;DEPHL;MATRX;NODIS;PARGROUP;PARAM;BASIS;QFLAG;Value;MUNIT;VFLAG;DETLI;LMQNT;UNCRT;METCU;ALABO;REFSK;METST;METPT;METPS;METFP;METCX;METOA;FORML;Test Organism;SMTYP;FINFL;SUBNO;BULKID;tblAnalysisID;tblParamID;tblSampleID
COMB;T;Germany;IFOG;OMBMPM2;2005;10/02/2005;54.31433333;11.54866667;;;;15.5;;BF;;I-MET;CU;W;;34150;ug/kg;A;1.6;;;%;IFOG;;;NA;;;HF-C;AAS;;;;;;;58682;21310569;319543
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;T;Germany;IFOG;OMBMPM2;2005;10/02/2005;54.31433333;11.54866667;;;;15.5;;BF;;I-MET;CU;W;;34150;ug/kg;A;1.6;;;%;IFOG;;;NA;;;HF-C;AAS;;;;;;;58682;21310570;319543
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;T;Germany;IFOG;OMBMPM2;2005;10/02/2005;54.31433333;11.54866667;;;;15.5;;AF;;I-MET;CU;W;;0.458;ug/l;A;0.008;;;%;IFOG;;;F;;;FFE;AAS-GF;;;;;;;58679;21318515;319543
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;T;Germany;IFOG;OMBMPM2;2005;10/02/2005;54.31433333;11.54866667;;;;15.5;;AF;;I-MET;CU;W;;0.458;ug/l;A;0.008;;;%;IFOG;;;F;;;FFE;AAS-GF;;;;;;;58679;21318516;319543
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OMBMPM1;2005;11/02/2005;54.466;12.21533333;;;;15.5;;AF;;I-MET;CU;W;;0.498;ug/l;A;0.008;;;%;IFOG;;;F;;;FFE;AAS-GF;;;;;;;58679;21318507;319604
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMB;;Germany;IFOG;OMBMPM1;2005;11/02/2005;54.466;12.21533333;;;;15.5;;AF;;I-MET;CU;W;;0.498;ug/l;A;0.008;;;%;IFOG;;;F;;;FFE;AAS-GF;;;;;;;58679;21318508;319604
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
