"MPROG","PURPM","Country","RLABO","STATN","MYEAR","DATE","Latitude","Longitude","Species","SEXCO","NOINP","DEPHU","DEPHL","MATRX","NODIS","PARGROUP","PARAM","BASIS","QFLAG","Value","MUNIT","VFLAG","DETLI","LMQNT","UNCRT","METCU","ALABO","REFSK","METST","METPT","METPS","METFP","METCX","METOA","FORML","Test.Organism","SMTYP","FINFL","SUBNO","BULKID","tblAnalysisID","tblParamID","tblSampleID"
"NATL~WFD","T~S","Poland","GDPP","OM3P",2011,"29/11/2011",54.383,18.968,NA,NA,NA,1,1,"WT",NA,"I-MET","CU","W","",0.230866141732283,"uM","",NA,NA,NA,"","GDPP","","","ACD~FM-CN-0.45","","","","ICP-OES",NA,NA,"RU",NA,1,NA,560529,48617994,2144178
"WGA","T~S","Germany","LNUG","OM705",2003,"08/01/2003",54.715,10.13333333,NA,NA,NA,1,NA,"BF",NA,"I-MET","CU","W","<",0.0078740157480315,"uM","A",0.5,NA,NA,"","LNUG","","","","","","","",NA,NA,"",NA,1,NA,65260,22655283,1057777
"COMB","T~S~E","Germany","BFGG","OM707",2016,"16/02/2016",54.52166667,10.04166667,NA,NA,NA,1,NA,"WT",NA,"I-MET","CU","W","<",0.0078740157480315,"uM","",0.25,0.5,0.15,"U2","LVUG","","","NF","","","HNO","AAS-GF",NA,NA,"GFL",NA,1,NA,576575,50444387,2222677
"COMB","","Germany","IFOG","OMBMPH3",2005,"17/02/2005",58.58233333,18.24,NA,NA,NA,10.5,NA,"AF",NA,"I-MET","CU","W","",0.00738582677165354,"uM","A",0.008,NA,NA,"%","IFOG","","","F","","","FFE","AAS-GF",NA,NA,"",NA,NA,NA,58679,21318253,320145
"COMB","T","Germany","IFOG","OMBMPJ1",2006,"31/01/2006",57.3,20.05,NA,NA,NA,50.5,NA,"AF",NA,"I-MET","CU","W","",0.00804724409448819,"uM","A",0.008,NA,NA,"%","IFOG","","","F","","","FFE","AAS-GF",NA,NA,"",NA,NA,NA,63987,22569232,1055166
"COMB","T","Germany","IFOG","OMBMPK1",2006,"30/01/2006",55.55,18.4,NA,NA,NA,10.5,NA,"AF",NA,"I-MET","CU","W","",0.00762204724409449,"uM","A",0.008,NA,NA,"%","IFOG","","","F","","","FFE","AAS-GF",NA,NA,"",NA,NA,NA,63987,22569249,1055060
"COMB","T","Germany","IFOG","OMBMPK2",2006,"29/01/2006",55.25,15.98,NA,NA,NA,15.5,NA,"AF",NA,"I-MET","CU","W","",0.00795275590551181,"uM","A",0.008,NA,NA,"%","IFOG","","","F","","","FFE","AAS-GF",NA,NA,"",NA,NA,NA,63987,22569276,1055012
"COMB","T","Germany","BFGG","OMBMPK3",2009,"12/02/2009",54.633,14.28433333,NA,NA,NA,20,NA,"WT",NA,"I-MET","CU","W","",0.00856692913385827,"uM","A",8,NA,NA,"","IFOG","","","FF-GF-0.7","","","NON","AAS-GF",NA,NA,"SCTD",NA,1,NA,422144,46398474,2042051
"COMB","T","Germany","BFGG","OMBMPK4",2010,"28/01/2010",54.9985,14.08483333,NA,NA,NA,5,NA,"WT",NA,"I-MET","CU","W","",0.00776488188976378,"uM","A",8,NA,NA,"","IFOG","","","NF","","","NON","AAS-GF",NA,NA,"SCTD",NA,1,NA,473161,46573221,2075278
"COMB","T","Germany","IFOG","OMBMPK5",2006,"28/01/2006",54.93,13.5,NA,NA,NA,5.5,NA,"AF",NA,"I-MET","CU","W","",0.00856692913385827,"uM","A",0.008,NA,NA,"%","IFOG","","","F","","","FFE","AAS-GF",NA,NA,"",NA,NA,NA,63987,22569290,1054967
"COMB","T","Germany","IFOG","OMBMPK7",2006,"28/01/2006",55,13.3,NA,NA,NA,15.5,NA,"AF",NA,"I-MET","CU","W","",0.00831496062992126,"uM","A",0.008,NA,NA,"%","IFOG","","","F","","","FFE","AAS-GF",NA,NA,"",NA,NA,NA,63987,22569282,1054999
"COMB","T","Germany","IFOG","OMBMPK8",2006,"27/01/2006",54.47,12.22,NA,NA,NA,5.5,NA,"AF",NA,"I-MET","CU","W","",0.0122362204724409,"uM","A",0.008,NA,NA,"%","IFOG","","","F","","","FFE","AAS-GF",NA,NA,"",NA,NA,NA,63987,22569301,1054943
"COMB","T","Germany","BFGG","OMBMPM1",2010,"28/01/2010",54.46833333,12.21783333,NA,NA,NA,20,NA,"WT",NA,"I-MET","CU","W","",0.00910566929133858,"uM","A",8,NA,NA,"","IFOG","","","NF","","","NON","AAS-GF",NA,NA,"SCTD",NA,1,NA,473161,46576151,2075178
"COMB","T~S~E","Germany","BFGG","OMBMPM2",2009,"09/06/2009",54.315,11.55,NA,NA,NA,1,NA,"WT",NA,"I-MET","CU","W","",0.0456692913385827,"uM","A",0.25,0.5,0.58,"U2","LVUG","","","NF~UV","","","HNO","AAS-GF",NA,NA,"MERCOS",NA,1,NA,426546,46398565,2046843
"COMB","T~S","Germany","BFGG","OMBMPN1",2009,"22/07/2009",54.55233333,11.32233333,NA,NA,NA,5,NA,"WT",NA,"I-MET","CU","W","",0.00823622047244094,"uM","A",8,NA,NA,"","IFOG","","","FF-GF-0.7","","","NON","AAS-GF",NA,NA,"SCTD",NA,1,NA,422145,46398477,2047073
"COMB","T~S~E","Germany","BFGG","OMBMPN3",2015,"07/01/2015",54.6,10.45,NA,NA,NA,1,NA,"WT",NA,"I-MET","CU","W","",0.047244094488189,"uM","",0.25,0.5,NA,"","LVUG","","","NF","","","HNO","AAS-GF",NA,NA,"GFL",NA,1,NA,566394,49087603,2165635
"COMB","T~S~E","Germany","BFGG","OMMVDB16",2010,"15/11/2010",54.335,12.44833333,NA,NA,NA,1,NA,"WT",NA,"I-MET","CU","W","",0.0162485039370079,"uM","A",0.03,0.1,0.20738778,"U2","LUNG","","","FM-CA-0.45","","","HNO","ICP-MS",NA,NA,"WAT",NA,1,NA,480554,46575039,2082779
"COMB","T~E","Germany","LUNG","OMMVGB19",2005,"04/08/2005",54.20666667,13.56666667,NA,NA,NA,1.5,NA,"WT",NA,"I-MET","CU","W","",0.617795275590551,"uM","A",NA,NA,NA,"","LUNG","","","NF~NONE","","","NON","ICP-OES",NA,NA,"AWS",NA,NA,NA,127262,39333439,1658695
"NATL","T~S~E","Germany","BFGG","OMMVGB2",2009,"08/12/2009",54.26666667,13.51666667,NA,NA,NA,1,NA,"WT",NA,"I-MET","CU","W","",0.00484377952755906,"uM","",0.044,0.132,0.07043582,"U2","LUNG","","","FM-CA-0.45","","","HNO","ICP-MS",NA,NA,"WAT",NA,1,NA,426275,46398569,2054891
"NATL","T~S~E","Germany","BFGG","OMMVGB7",2009,"02/03/2009",54.20666667,13.65333333,NA,NA,NA,1,NA,"WT",NA,"I-MET","CU","W","",0.00779732283464567,"uM","",0.044,0.132,0.11338477,"U2","LUNG","","","FM-CA-0.45","","","HNO","ICP-MS",NA,NA,"WAT",NA,1,NA,426275,46398701,2044093
"NATL","T~S~E","Germany","BFGG","OMMVKHJ",2010,"03/06/2010",53.80666667,14.235,NA,NA,NA,1,NA,"WT",NA,"I-MET","CU","W","",0.0288689763779528,"uM","A",0.03,0.1,0.36846918,"U2","LUNG","","","FM-CA-0.45","","","HNO","ICP-MS",NA,NA,"WAT",NA,1,NA,480496,46574603,2078233
"COMB","T~E","Germany","LUNG","OMMVKHM",2006,"05/04/2006",53.825,14.1,NA,NA,NA,1.5,NA,"AF",NA,"I-MET","CU","W","",1.37007874015748,"uM","A",0.03,0.1,17.487,"U2","LUNG","","","FM-CA-0.45","","","HNO","ICP-MS",NA,NA,"",NA,NA,NA,102120,34597813,1385159
"COMB","T~E","Germany","LUNG","OMMVO7",2000,"16/10/2000",54.53,12.525,NA,NA,NA,1.5,NA,"WT",NA,"I-MET","CU","W","",0.0537007874015748,"uM","A",0.05,0.24,NA,"","LUNG","","","NF~NONE","","","AM","AAS-GF",NA,NA,"AWS",NA,NA,NA,126857,39237953,1656843
"COMB","T~S~E","Germany","BFGG","OMMVOB1",2010,"03/06/2010",53.93833333,14.225,NA,NA,NA,1,NA,"WT",NA,"I-MET","CU","W","",0.0319902362204724,"uM","A",0.03,0.1,0.40830738,"U2","LUNG","","","FM-CA-0.45","","","HNO","ICP-MS",NA,NA,"WAT",NA,1,NA,480617,46575100,2078237
"NATL","T~S~E","Germany","BFGG","OMMVP20",2009,"30/06/2009",54.12166667,13.775,NA,NA,NA,1,NA,"WT",NA,"I-MET","CU","W","",0.0210674015748031,"uM","",0.044,0.132,0.30635162,"U2","LUNG","","","FM-CA-0.45","","","HNO","ICP-MS",NA,NA,"WAT",NA,1,NA,426275,46398681,2046968
"COMB","T~S~E","Germany","BFGG","OMMVP42",2009,"26/11/2009",54.02333333,13.76,NA,NA,NA,1,NA,"WT",NA,"I-MET","CU","W","",0.00871700787401575,"uM","",0.044,0.132,0.12675837,"U2","LUNG","","","FM-CA-0.45","","","HNO","ICP-MS",NA,NA,"WAT",NA,1,NA,426275,46398698,2054869
"NATL","T~S~E","Germany","BFGG","OMMVP48",2009,"30/06/2009",53.965,13.88833333,NA,NA,NA,1,NA,"WT",NA,"I-MET","CU","W","",0.0107886614173228,"uM","",0.044,0.132,0.15688332,"U2","LUNG","","","FM-CA-0.45","","","HNO","ICP-MS",NA,NA,"WAT",NA,1,NA,426275,46398676,2046961
"COMB","T~S~E","Germany","BFGG","OMMVRB15",2011,"29/08/2011",54.43166667,13.49166667,NA,NA,NA,1,NA,"WT",NA,"I-MET","CU","W","",0.0439970078740158,"uM","",0.053,0.16,0.54199914,"U2","LUNG","","","FM-CA-0.45","","","HNO","ICP-MS",NA,NA,"WAT",NA,1,NA,530657,48457766,2125376
"COMB","T~S~E","Germany","BFGG","OMMVS66",2013,"25/11/2013",54.28666667,13.13166667,NA,NA,NA,1,NA,"WT",NA,"I-MET","CU","W","",0.0683937007874016,"uM","",0.06,0.178,0.842542,"U2","LUNG","","","FM-CA-0.45","","","HNO","ICP-MS",NA,NA,"WAT",NA,1,NA,304217,46047544,1938113
"COMB","T~S~E","Germany","LUNG","OMMVUW4",1998,"07/04/1998",54.16666667,12.1,NA,NA,NA,1.5,NA,"WT",NA,"I-MET","CU","W","",0.179527559055118,"uM","A",0.05,0.24,NA,"","LUNG","","","NF~NONE","","","AM","AAS-GF",NA,NA,"AWS",NA,NA,NA,126389,39124188,1652328
"COMB","T~S~E","Germany","BFGG","OMMVWB1",2009,"20/08/2009",53.90833333,11.44166667,NA,NA,NA,1,NA,"WT",NA,"I-MET","CU","W","",0.0147606299212598,"uM","",0.044,0.132,0.2146417,"U2","LUNG","","","FM-CA-0.45","","","HNO","ICP-MS",NA,NA,"WAT",NA,1,NA,426275,46398693,2047460
"COMB","T~E","Germany","LUNG","OMMVWB3",1998,"18/03/1998",53.95,11.40833333,NA,NA,NA,1.5,NA,"WT",NA,"I-MET","CU","W","",0.214173228346457,"uM","A",0.05,0.24,NA,"","LUNG","","","NF~NONE","","","AM","AAS-GF",NA,NA,"AWS",NA,NA,NA,126389,39124176,1652282
"COMB","T~E","Germany","LUNG","OMMVWB6",2000,"14/11/2000",54.01666667,11.36666667,NA,NA,NA,1.5,NA,"WT",NA,"I-MET","CU","W","",0.0240944881889764,"uM","A",0.05,0.24,NA,"","LUNG","","","NF~NONE","","","AM","AAS-GF",NA,NA,"AWS",NA,NA,NA,126857,39237924,1656983
"COMB","T~S~E","Germany","BFGG","OMO11",2009,"25/11/2009",54.535,13.77,NA,NA,NA,1,NA,"WT",NA,"I-MET","CU","W","",0.0168469291338583,"uM","",0.044,0.132,0.24497962,"U2","LUNG","","","FM-CA-0.45","","","HNO","ICP-MS",NA,NA,"WAT",NA,1,NA,426275,46398500,2054866
"COMB","T~S~E","Germany","BFGG","OMO133",2009,"03/03/2009",54.20433333,13.89733333,NA,NA,NA,1,NA,"WT",NA,"I-MET","CU","W","",0.0230815748031496,"uM","",0.044,0.132,0.33564072,"U2","LUNG","","","FM-CA-0.45","","","HNO","ICP-MS",NA,NA,"WAT",NA,1,NA,426275,46398686,2044115
"COMB","T~S~E","Germany","LNUG","OMO22",2007,"25/06/2007",54.11,11.175,NA,NA,NA,1.5,NA,"BF",NA,"I-MET","CU","W","",0.0173228346456693,"uM","A",NA,NA,NA,"","LVUG","","","NF","","","HNO","ASV",NA,NA,"",NA,NA,NA,102215,34613901,1388858
"COMB","T~E","Germany","LUNG","OMO5",2000,"16/10/2000",54.23166667,12.06666667,NA,NA,NA,1.5,NA,"WT",NA,"I-MET","CU","W","",0.177952755905512,"uM","A",0.05,0.24,NA,"","LUNG","","","NF~NONE","","","AM","AAS-GF",NA,NA,"AWS",NA,NA,NA,126857,39237962,1656808
"COMB","T~S~E","Germany","BFGG","OMO9",2014,"04/08/2014",54.62333333,13.02833333,NA,NA,NA,1,NA,"WT",NA,"I-MET","CU","W","",0.012755905511811,"uM","",0.053,0.16,0.15714,"U2","LUNG","","","FM-CA-0.45","","","HNO","ICP-MS",NA,NA,"WAT",NA,1,NA,561173,48792798,2155577
"COMB","T~E","Germany","LUNG","OMOB4",2000,"08/08/2000",54.00666667,14.23333333,NA,NA,NA,1.5,NA,"WT",NA,"I-MET","CU","W","",0.25511811023622,"uM","A",0.05,0.24,NA,"","LUNG","","","NF~NONE","","","AM","AAS-GF",NA,NA,"AWS",NA,NA,NA,126857,39237945,1656915
"COMB","T","Germany","BFGG","OMRegion 1",2010,"29/01/2010",54.6365,14.26316667,NA,NA,NA,5,NA,"WT",NA,"I-MET","CU","W","",0.0075748031496063,"uM","A",8,NA,NA,"","IFOG","","","NF","","","NON","AAS-GF",NA,NA,"SCTD",NA,1,NA,473161,46573235,2075305
"NATL","T","Germany","LNUG","OMS2",2007,"27/06/2007",54.51833333,9.6715,NA,NA,NA,1.5,NA,"BF",NA,"I-MET","CU","W","",0.0551181102362205,"uM","A",NA,NA,NA,"","LVUG","","","NF","","","HNO","ASV",NA,NA,"",NA,NA,NA,102215,34613900,1388908
"BMP","T~S","Russia","RCMA","PS10",1998,"30/06/1998",55.5195,18.31666667,NA,NA,NA,1,NA,"BF",NA,"I-MET","CU","W","",0.015748031496063,"uM","A",0.02,NA,NA,"","RCMA","","","","","","","",NA,NA,"",NA,1,NA,59158,21443239,406093
"BMP","T~S","Russia","RCMA","S1",1998,"09/07/1998",56.59316667,17.64316667,NA,NA,NA,1,NA,"BF",NA,"I-MET","CU","W","",0.0165354330708661,"uM","A",0.02,NA,NA,"","RCMA","","","","","","","",NA,NA,"",NA,1,NA,59158,21443381,406096
"BMP","T~S","Russia","RCMA","S2",1998,"09/07/1998",56.732,18.09866667,NA,NA,NA,1,NA,"BF",NA,"I-MET","CU","W","",0.014488188976378,"uM","A",0.02,NA,NA,"","RCMA","","","","","","","",NA,NA,"",NA,1,NA,59158,21443447,406097
"NATL~WFD","T~S","Poland","SZPP","SWIZP",2013,"13/06/2013",53.943494,14.235297,NA,NA,NA,0.5,0.5,"WT",NA,"I-MET","CU","W","",0.141732283464567,"uM","",NA,NA,NA,"","SZPP","","","ACD~FM-CN-0.45","","","","AAS-ETA",NA,NA,"RU",NA,1,NA,447645,46492217,2065456
"NATL~WFD","T~S","Poland","SZPP","SWZP",2012,"18/06/2012",53.964,14.245,NA,NA,NA,0.5,0.5,"WT",NA,"I-MET","CU","W","",0.062992125984252,"uM","",NA,NA,NA,"","SZPP","","","ACD~FM-CN-0.45","","","","AAS-ETA",NA,NA,"RU",NA,1,NA,447634,46491699,2065387
"NATL~WFD","T~S","Poland","GDPP","T12P",2011,"09/06/2011",54.681,18.683,NA,NA,NA,1,1,"WT",NA,"I-MET","CU","W","",0.198425196850394,"uM","",NA,NA,NA,"","GDPP","","","ACD~FM-CN-0.45","","","","ICP-OES",NA,NA,"RU",NA,1,NA,560529,48617997,2144182
"NATL~WFD","T~S","Poland","GDPP","T18P",2011,"20/07/2011",54.379,18.878,NA,NA,NA,1,1,"WT",NA,"I-MET","CU","W","",0.708661417322835,"uM","",NA,NA,NA,"","GDPP","","","ACD~FM-CN-0.45","","","","ICP-OES",NA,NA,"RU",NA,1,NA,560529,48617992,2144189
"NATL~WFD","T~S","Poland","OWMP","T2WM",2014,"11/06/2014",54.283,19.419,NA,NA,NA,0.5,1.4,"WT",NA,"I-MET","CU","W","",0.078740157480315,"uM","",NA,NA,NA,"","EWMP","","","FM-CA-0.45~ACD","","","","AAS-ETA",NA,NA,"RU",NA,1,NA,447616,46489085,2065254
"NATL~WFD","T~S","Poland","OWMP","T5WM",2014,"17/09/2014",54.367,19.456,NA,NA,NA,0.5,2.4,"WT",NA,"I-MET","CU","W","",0.062992125984252,"uM","",NA,NA,NA,"","EWMP","","","FM-CA-0.45~ACD","","","","AAS-ETA",NA,NA,"RU",NA,1,NA,447616,46489062,2065291
"NATL~WFD","T~S","Poland","GDPP","T6P",2011,"18/05/2011",54.739,18.52,NA,NA,NA,1,1,"WT",NA,"I-MET","CU","W","",0.106771653543307,"uM","",NA,NA,NA,"","GDPP","","","ACD~FM-CN-0.45","","","","ICP-OES",NA,NA,"RU",NA,1,NA,560529,48617984,2144193
"NATL~WFD","T~S","Poland","SZPP","WLZP",2012,"25/04/2012",53.848,14.623,NA,NA,NA,0.5,0.5,"WT",NA,"I-MET","CU","W","",0.188976377952756,"uM","",NA,NA,NA,"","SZPP","","","ACD~FM-CN-0.45","","","","AAS-ETA",NA,NA,"RU",NA,1,NA,447634,46491702,2065378
