"123",2.1,"TB","Cd",0.0791849571508357
"124",2.2,"TB","Cd",0.0800304695150491
"125",2.3,"TB","Cd",0.0808847626111734
"126",2.4,"TB","Cd",0.0817406702237855
"127",2.5,"TB","Cd",0.0825954630566639
"128",2.6,"TB","Cd",0.0834713135518201
"129",2.7,"TB","Cd",0.0843361592110471
"130",2.8,"TB","Cd",0.0852100575698614
"131",2.9,"TB","Cd",0.0860860157224319
"132",3,"TB","Cd",0.0869712958583089
"133",3.1,"TB","Cd",0.0878550040941782
"134",3.2,"TB","Cd",0.0887423961380727
"135",3.3,"TB","Cd",0.0896384793483208
"136",3.4,"TB","Cd",0.0905325931651637
"137",3.5,"TB","Cd",0.0914298091365495
"138",3.6,"TB","Cd",0.0923349514089462
"139",3.7,"TB","Cd",0.0932357240273062
"140",3.8,"TB","Cd",0.0941463753528359
"141",3.9,"TB","Cd",0.0950565534526983
"142",4,"TB","Cd",0.0959672959692408
"143",4.1,"TB","Cd",0.0968849848991413
"144",4.2,"TB","Cd",0.0977995880610473
"145",4.3,"TB","Cd",0.0987192260746512
"146",4.4,"TB","Cd",0.0996410905590873
"147",4.5,"TB","Cd",0.100564216768864
"148",4.6,"TB","Cd",0.10148766222512
"149",4.7,"TB","Cd",0.1024105073679
"150",4.8,"TB","Cd",0.103340265291993
"151",4.9,"TB","Cd",0.104265728948397
"152",5,"TB","Cd",0.105194356454623
"153",5.1,"TB","Cd",0.106123418874754
"154",5.2,"TB","Cd",0.107055137863889
"155",5.3,"TB","Cd",0.107985209758212
"156",5.4,"TB","Cd",0.108912687757973
"157",5.5,"TB","Cd",0.10984445569211
"158",5.6,"TB","Cd",0.110774651136555
"159",5.7,"TB","Cd",0.111703805036982
"160",5.8,"TB","Cd",0.112632394035812
"161",5.9,"TB","Cd",0.113563825609188
"162",6,"TB","Cd",0.114490961035116
"163",6.1,"TB","Cd",0.115417241709309
"164",6.2,"TB","Cd",0.116341566183855
"165",6.3,"TB","Cd",0.117267141928117
"166",6.4,"TB","Cd",0.118191331178614
"167",6.5,"TB","Cd",0.119111618235731
"168",6.6,"TB","Cd",0.120032480679322
"169",6.7,"TB","Cd",0.120948598929881
"170",6.8,"TB","Cd",0.121864331289403
"171",6.9,"TB","Cd",0.122778448118028
"172",7,"TB","Cd",0.123688453983373
"173",7.1,"TB","Cd",0.124598440389104
"174",7.2,"TB","Cd",0.125503284273953
"175",7.3,"TB","Cd",0.126405711659817
"176",7.4,"TB","Cd",0.127305764487685
"177",7.5,"TB","Cd",0.128203452198126
"178",7.6,"TB","Cd",0.129096327637099
"179",7.7,"TB","Cd",0.129985662346034
"180",7.8,"TB","Cd",0.130872620234702
"181",7.9,"TB","Cd",0.131755928295613
"182",8,"TB","Cd",0.132633214770403
"183",8.1,"TB","Cd",0.133509049208081
"184",8.2,"TB","Cd",0.134378710378967
"185",8.3,"TB","Cd",0.135246601171485
"186",8.4,"TB","Cd",0.136108080819861
"187",8.5,"TB","Cd",0.136966317604005
