"SM_GP2-4_13 0.5" 0.030928575781986 0.00103668437434664 0.0288460962703867 0.033161395252087
"SM_GP2-4_16 0.5" 0.00351077128339414 0.00601582287316269 9.9494645639951e-05 0.123881189033109
"SM_GP2-4_19 0.5" 0.0258341808279383 0.00111716119910851 0.0236123199515164 0.0282651133146176
"SM_GP2-4_20 0.5" 0.0220663708469886 0.000252217714456478 0.0215480401358306 0.0225971698255358
"TB_GP2-4_11 0.5" 0.103869943184574 0.0691728289326233 0.0260028958671936 0.414913983129798
"TB_GP2-4_13 0.5" 0.0579874633424172 0.00755057253014176 0.0442315982048791 0.0760213521861226
"TB_GP2-4_16 0.5" 0.0913965392226691 0.00622388574834691 0.079327978448846 0.105301150303073
"TB_GP2-4_9 0.5" 0.0643952002265584 0.0051883968424657 0.0544608542004219 0.076141696143033
"SM_GP2-4_13 0.05" 0.0102794385149031 0.00132730316893179 0.00785870186140074 0.0134458410619537
"SM_GP2-4_16 0.05" 7.34973284513394e-05 0.000404746542944933 7.80877264658081e-10 6.91767776316211
"SM_GP2-4_19 0.05" 0.00455165514998159 0.000712930037427602 0.00328628930978789 0.00630424246053101
"SM_GP2-4_20 0.05" 0.0149788723508003 0.00113442553124265 0.0127961079176579 0.0175339734820427
"TB_GP2-4_11 0.05" 0.00460717365824702 0.00446175960516573 0.000614859561602713 0.0345217842297462
"TB_GP2-4_13 0.05" 0.00522407142415917 0.00238801730248683 0.00201909230135065 0.0135164312332133
"TB_GP2-4_16 0.05" 0.0134692107738413 0.00342938549871875 0.00793209747858863 0.0228715846420035
"TB_GP2-4_9 0.05" 0.00388290165120125 0.00118134890427806 0.00206240550602595 0.00731035928135835
"SM_GP2-4_13 0.95" 0.0574506307122721 0.00318707454470117 0.051190776814694 0.0644759695908825
"SM_GP2-4_16 0.95" 0.0308569394414042 0.0172055581620993 0.00967734192419236 0.0983896941070368
"SM_GP2-4_19 0.95" 0.0685617808705918 0.00595795284017157 0.0572265988758158 0.0821421836783942
"SM_GP2-4_20 0.95" 0.0274357190084167 0.00114243825753182 0.0251598514248097 0.029917453199527
"TB_GP2-4_11 0.95" 0.598592892380876 0.878193070155655 0.0283205914099321 12.6520469019316
"TB_GP2-4_13 0.95" 0.224377995583802 0.0542106613679967 0.135760012734759 0.370841780934177
"TB_GP2-4_16 0.95" 0.268176061556848 0.0339560494369949 0.206092713841915 0.348961390490048
"TB_GP2-4_9 0.95" 0.312266729223039 0.0484775474752468 0.226107392973834 0.431257505104839
