SM_Exp;Ag;0;94377.85156
SM_Exp;Ag;0;94377.85156
SM_Exp;Ag;0;94377.85156
SM_Exp;Ag;4;16245.82031
SM_Exp;Ag;4;21179.73611
SM_Exp;Ag;4;27231.08929
SM_Exp;Ag;7;4186.666667
SM_Exp;Ag;7;5233.333333
SM_Exp;Ag;7;6541.666667
SM_Exp;Ag;10;228.140625
SM_Exp;Ag;10;228.140625
SM_Exp;Ag;10;2281.40625
SM_Exp;C;0;94377.85156
SM_Exp;C;4;37955699.6
SM_Exp;C;4;38129050.99
SM_Exp;C;4;39707098.96
SM_Exp;C;7;33551942.58
SM_Exp;C;7;42915275.39
SM_Exp;C;7;44345784.57
SM_Exp;C;10;23319406.25
SM_Exp;C;10;25223031.25
SM_Exp;C;10;29971518.06
SM_Exp;Cd;0;94377.85156
SM_Exp;Cd;4;1806269.668
SM_Exp;Cd;4;2474907.058
SM_Exp;Cd;4;2595765.02
SM_Exp;Cd;7;2946105
SM_Exp;Cd;7;3105067.5
SM_Exp;Cd;7;3581955
SM_Exp;Cd;10;1547970.938
SM_Exp;Cd;10;1786120.313
SM_Exp;Cd;10;1825811.875
SM_Exp;Cu;0;94377.85156
SM_Exp;Cu;4;1048710.938
SM_Exp;Cu;4;1142542.969
SM_Exp;Cu;4;1319167.969
SM_Exp;Cu;7;1673356.289
SM_Exp;Cu;7;1806910.547
SM_Exp;Cu;7;2341127.578
SM_Exp;Cu;10;25077.47917
SM_Exp;Cu;10;60849.76563
SM_Exp;Cu;10;64168.84375
TB_Exp;Ag;0;63618.3625
TB_Exp;Ag;0;63618.3625
TB_Exp;Ag;0;63618.3625
TB_Exp;Ag;4;166321.875
TB_Exp;Ag;4;221762.5
TB_Exp;Ag;4;246402.7778
TB_Exp;Ag;7;1477291.5
TB_Exp;Ag;7;1933690.5
TB_Exp;Ag;7;2197921.5
TB_Exp;Ag;10;1895627.813
TB_Exp;Ag;10;2064128.063
TB_Exp;Ag;10;2548566.281
TB_Exp;C;0;63618.3625
TB_Exp;C;4;318988.675
TB_Exp;C;4;323749.7
TB_Exp;C;4;333271.75
TB_Exp;C;7;35403.5
TB_Exp;C;7;37763.73333
TB_Exp;C;7;51496
TB_Exp;C;10;2551.25
TB_Exp;C;10;2551.25
TB_Exp;C;10;2551.25
TB_Exp;Cd;0;63618.3625
TB_Exp;Cd;4;68453.9625
TB_Exp;Cd;4;90234.76875
TB_Exp;Cd;4;127573.2938
TB_Exp;Cd;7;2997.71875
TB_Exp;Cd;7;9992.395833
TB_Exp;Cd;7;20984.03125
TB_Exp;Cd;10;841.9125
TB_Exp;Cd;10;841.9125
TB_Exp;Cd;10;841.9125
TB_Exp;Cu;0;63618.3625
TB_Exp;Cu;4;232654.375
TB_Exp;Cu;4;268845.0556
TB_Exp;Cu;4;297797.6
TB_Exp;Cu;7;413961.0823
TB_Exp;Cu;7;653049.9107
TB_Exp;Cu;7;682074.3512
TB_Exp;Cu;10;13686.17308
TB_Exp;Cu;10;66720.09375
TB_Exp;Cu;10;68944.09688
