"numDF","denDF","F-value","p-value"
"(Intercept)",1,72,11634.5340801009,0
"Metal",3,12,33.1522469983617,4.35179206914604e-06
"t",6,72,9.08988077064837,2.14150354338472e-07
"Metal:t",18,72,10.7124902343282,6.59472476627343e-14
