"numDF","denDF","F-value","p-value"
"(Intercept)",1,40,537.049788531332,0
"Species",1,40,34.2132593263937,7.70070987532456e-07
"Metal",3,8,60.0342425225199,7.91335303074181e-06
"Timepoint",2,40,11.1525158115906,0.00014149380019679
"Species:Metal",3,40,51.0732658763447,9.62563362350011e-14
"Species:Timepoint",2,40,0.314567308817153,0.731894331576792
"Metal:Timepoint",6,40,12.3099300229028,8.39189947532404e-08
"Species:Metal:Timepoint",6,40,0.998187710248974,0.4399263763135
