Replicate;Treatment;Timepoint;Metal;Species;Growth;Inhibition;RateRelativeSM;Time;id
3;T10_Cu_SM;7-10;Cu;SM;-0.592563458;1.38617996;-0.170159704;8.5;N
1;T10_Ag_TB;7-10;Ag;TB;0.691789405;0.006459392;0.850657574;8.5;A
2;T10_Ag_TB;7-10;Ag;TB;0.685931089;0.014873043;0.844799258;8.5;B
3;T10_Ag_TB;7-10;Ag;TB;0.659523697;0.05279906;0.818391865;8.5;C
1;T10_C_TB;7-10;Control;TB;0.751264976;-0.078958792;-0.78315814;8.5;D
2;T10_C_TB;7-10;Control;TB;0.729752136;-0.048062279;-0.80467098;8.5;E
3;T10_C_TB;7-10;Control;TB;0.607843876;0.127021071;-0.92657924;8.5;F
1;T10_Cd_TB;7-10;Cd;TB;-0.237055229;1.340456206;-0.850400657;8.5;G
2;T10_Cd_TB;7-10;Cd;TB;0.043070577;0.938142494;-0.570274851;8.5;H
3;T10_Cd_TB;7-10;Cd;TB;0.433094328;0.377994519;-0.1802511;8.5;K
1;T10_Cu_TB;7-10;Cu;TB;0.025836096;0.962894473;0.44823985;8.5;L
2;T10_Cu_TB;7-10;Cu;TB;0.013607332;0.980457295;0.436011085;8.5;M
3;T10_Cu_TB;7-10;Cu;TB;-0.45603134;1.654947375;-0.033627586;8.5;N
