Metal;Strain;Local;Species;EC05n;SE_EC05n;95L_EC05n;95H_EC05n;EC50n;SE_EC50n;95L_EC50n;95H_EC50n;EC95n;SE_EC95n;95L_EC95n;95H_EC95n;EC05a;SE_EC05a;95L_EC05a;95H_EC05a;EC50a;SE_EC50a;95L_EC50a;95H_EC50a;EC95a;SE_EC95a;95L_EC95a;95H_EC95a;Respons_Range
Co;SM_GP2-4_20;GP;SM;8.09029;0.55236;6.9416;9.23898;31.10124;0.90708;29.21486;32.98762;119.5615;8.3872;102.1194;137.0037;5.240190367;0.35777105;4.496168302;5.984212432;19.79001405;0.577183609;18.58969256;20.99033554;75.72343645;5.311974224;64.6766049;86.77033134;14.77839484
Cu;SM_GP2-4_20;GP;SM;2.018761;0.027928;1.960681;2.07684;2.436571;0.013665;2.408154;2.464989;2.70835;0.036512;2.632419;2.784282;7.702956443;0.106564456;7.481341447;7.924567622;9.015924368;0.05056393;8.910774334;9.121078101;9.869989875;0.133060007;9.593275934;10.14670746;1.341590213
Ni;SM_GP2-4_20;GP;SM;4.4445;0.22871;3.96887;4.92013;10.40671;0.20524;9.97989;10.83354;24.3671;1.3962;21.4635;27.2708;2.5711964;0.13231147;2.296038757;2.846354043;5.762171192;0.113640912;5.525841948;5.998505973;13.23377192;0.758276215;11.65682677;14.81077138;5.482528968
Pb;SM_GP2-4_20;GP;SM;41.7655;1.8855;37.7684;45.7626;86.0046;1.0924;83.6888;88.3204;129.0849;3.5028;121.6593;136.5105;22.5453956;1.017809996;20.38772478;24.70306642;46.22216192;0.587097547;44.97756242;47.46676142;69.27873848;1.879922169;65.29348381;73.26399315;3.090706444
Zn;SM_GP2-4_20;GP;SM;6.77864;0.18636;6.39107;7.1662;9.666561;0.095159;9.468667;9.864455;13.78484;0.33593;13.08622;14.48345;5.592375032;0.153746918;5.272629952;5.912111862;6.736858124;0.066318589;6.598941051;6.874775198;8.368932092;0.203946898;7.944791998;8.793066115;2.033570156
Ag;SM_GP2-4_16;GP;SM;1.8028;2.2145;-2.8917;6.4974;24.3947;8.5581;6.2522;42.5371;105.511;17.855;67.659;143.363;0.000551061;0.000676905;-0.000883904;0.001986056;0.006203554;0.002176318;0.00158993;0.010817153;0.026498852;0.004484243;0.016992407;0.036005298;58.5261815
Cd;SM_GP2-4_16;GP;SM;9.1057;3.1159;2.6258;15.5857;11.0111;1.0391;8.8502;13.172;15.43877;7.30012;0.25735;30.6202;6.28194263;2.149632103;1.811516408;10.75243784;7.56980249;0.714350225;6.084248258;9.055356722;10.56246464;4.994391353;0.176066505;20.94886962;1.695506112
Co;SM_GP2-4_16;GP;SM;7.1351;1.8946;3.1951;11.0751;27.9582;3.6109;20.4489;35.4674;109.551;35.286;36.17;182.933;4.63622373;1.231067466;2.076102429;7.196345031;17.80266986;2.299277514;13.02104627;22.58422978;69.3937973;22.35150324;22.91146268;115.8767654;15.35381424
Cu;SM_GP2-4_16;GP;SM;1.77864;0.18524;1.39341;2.16387;2.479853;0.067014;2.34049;2.619216;2.9893;0.1797;2.6156;3.363;6.9483762;0.723652458;5.443449423;8.453302977;9.151938053;0.247316263;8.637616622;9.666259483;10.75287525;0.646402731;9.408630952;12.09711955;1.680666127
Ni;SM_GP2-4_16;GP;SM;13.5816;9.9174;-7.0427;34.2059;13.6947;10;-7.1014;34.4909;13.8088;10.0833;-7.1606;34.7782;7.46137232;5.44835762;-3.869073367;18.79181801;7.52190344;5.492565328;-3.900490342;18.94435215;7.58296976;5.537147253;-3.932174647;19.09811417;1.016728515
