Metal;Strain;Local;Species;EC;Conc;SE;95L;95H;Respons_Range
Zn;TB_GP2-4_9;GP;TB;EC05;4.254363194;1.07720149;2.01419473;6.494531658;
Ag;SM_GP2-4_13;GP;SM;EC50;0.03091796;0.001005152;0.028787145;0.033048774;
Cd;SM_GP2-4_13;GP;SM;EC50;8.529195227;0.277739376;7.958298708;9.100098607;
Co;SM_GP2-4_13;GP;SM;EC50;18.36946358;0.882675943;16.53382866;20.20516216;
Cu;SM_GP2-4_13;GP;SM;EC50;10.40069528;0.083466408;10.22714732;10.57427938;
Ni;SM_GP2-4_13;GP;SM;EC50;5.106524432;0.188406695;4.707114029;5.505929273;
Pb;SM_GP2-4_13;GP;SM;EC50;43.66551152;2.989049827;37.44937592;49.88159336;
Zn;SM_GP2-4_13;GP;SM;EC50;7.6164218;0.069045049;7.472840138;7.760003462;
Ag;SM_GP2-4_19;GP;SM;EC50;0.025816532;0.001121562;0.02348414;0.028148923;
Cd;SM_GP2-4_19;GP;SM;EC50;7.516980905;0.290326065;6.913226998;8.120741687;
Co;SM_GP2-4_19;GP;SM;EC50;12.35936988;0.448136839;11.42740954;13.29132383;
Cu;SM_GP2-4_19;GP;SM;EC50;8.34202467;0.045142776;8.248146466;8.435906628;
Ni;SM_GP2-4_19;GP;SM;EC50;9.41752832;0.23937479;8.919715957;9.915335219;
Pb;SM_GP2-4_19;GP;SM;EC50;43.60487336;0.834958685;41.8348061;45.37488686;
Zn;SM_GP2-4_19;GP;SM;EC50;6.645352058;0.080766896;6.477388183;6.813315933;
Ag;SM_GP2-4_20;GP;SM;EC50;0.022066009;0.00025004;0.021546026;0.022585994;
Cd;SM_GP2-4_20;GP;SM;EC50;7.200470453;0.200429162;6.783648805;7.617292101;
Co;SM_GP2-4_20;GP;SM;EC50;19.79001405;0.577183609;18.58969256;20.99033554;
Cu;SM_GP2-4_20;GP;SM;EC50;9.015924368;0.05056393;8.910774334;9.121078101;
Ni;SM_GP2-4_20;GP;SM;EC50;5.762171192;0.113640912;5.525841948;5.998505973;
Pb;SM_GP2-4_20;GP;SM;EC50;46.22216192;0.587097547;44.97756242;47.46676142;
Zn;SM_GP2-4_20;GP;SM;EC50;6.736858124;0.066318589;6.598941051;6.874775198;
Ag;SM_GP2-4_16;GP;SM;EC50;0.006203554;0.002176318;0.00158993;0.010817153;
Cd;SM_GP2-4_16;GP;SM;EC50;7.56980249;0.714350225;6.084248258;9.055356722;
Co;SM_GP2-4_16;GP;SM;EC50;17.80266986;2.299277514;13.02104627;22.58422978;
Cu;SM_GP2-4_16;GP;SM;EC50;9.151938053;0.247316263;8.637616622;9.666259483;
Ni;SM_GP2-4_16;GP;SM;EC50;7.52190344;5.492565328;-3.900490342;18.94435215;
Pb;SM_GP2-4_16;GP;SM;EC50;69.9033704;39.49573702;-12.23249947;152.0392403;
Zn;SM_GP2-4_16;GP;SM;EC50;8.09487479;0.357549964;7.351304654;8.838444926;
Ag;TB_GP2-4_11;GP;TB;EC50;0.105249052;0.072546865;-0.045617272;0.256117881;
Cd;TB_GP2-4_11;GP;TB;EC50;3.319826426;0.034451325;3.248180461;3.39147239;
Co;TB_GP2-4_11;GP;TB;EC50;20.43974024;3.038083573;14.12169698;26.75771988;
Cu;TB_GP2-4_11;GP;TB;EC50;7.98181875;0.090365929;7.793890946;8.169746554;
Ni;TB_GP2-4_11;GP;TB;EC50;3.62187428;0.51573265;2.549349786;4.694404426;
Pb;TB_GP2-4_11;GP;TB;EC50;30.47764832;1.423578591;27.45975435;33.49548843;
Zn;TB_GP2-4_11;GP;TB;EC50;6.75621302;0.274486366;6.185397373;7.327035621;
Ag;TB_GP2-4_13;GP;TB;EC50;0.057948742;0.007565092;0.042216289;0.073680944;
Cd;TB_GP2-4_13;GP;TB;EC50;2.718820877;0.096895352;2.517307762;2.920333992;
Co;TB_GP2-4_13;GP;TB;EC50;24.71313979;3.023041833;18.42638974;30.99995339;
Cu;TB_GP2-4_13;GP;TB;EC50;11.18726303;0.956068099;9.198971897;13.17555415;
Ni;TB_GP2-4_13;GP;TB;EC50;7.82241824;0.795125368;6.16895693;9.47593442;
Pb;TB_GP2-4_13;GP;TB;EC50;29.24187152;0.835218827;27.47133475;31.01240829;
Zn;TB_GP2-4_13;GP;TB;EC50;10.2022793;1.579577271;6.917334881;13.48722372;
Ag;TB_GP2-4_16;GP;TB;EC50;0.09138522;0.006238308;0.078411915;0.104358525;
Cd;TB_GP2-4_16;GP;TB;EC50;2.968707866;0.111404051;2.737036874;3.200378858;
Co;TB_GP2-4_16;GP;TB;EC50;17.5660632;3.009360073;11.30770741;23.82441899;
Cu;TB_GP2-4_16;GP;TB;EC50;10.58883675;1.128175644;8.242643845;12.9349936;
Ni;TB_GP2-4_16;GP;TB;EC50;7.878191432;0.304739055;7.244448526;8.511934338;
Pb;TB_GP2-4_16;GP;TB;EC50;31.6804568;1.445797099;28.61547465;34.74543895;
Zn;TB_GP2-4_16;GP;TB;EC50;9.03069761;0.688695361;7.598437979;10.46295724;
Ag;TB_GP2-4_9;GP;TB;EC50;0.064353862;0.00520399;0.053531658;0.075176066;
Cd;TB_GP2-4_9;GP;TB;EC50;3.619788818;0.243618481;3.119024113;4.120560528;
Co;TB_GP2-4_9;GP;TB;EC50;12.90677096;2.859828668;6.95949956;18.85404236;
Cu;TB_GP2-4_9;GP;TB;EC50;10.57479606;0.199229926;10.16047383;10.98911829;
