Metal;Strain;Local;Species;EC05n;SE_EC05n;95L_EC05n;95H_EC05n;EC50n;SE_EC50n;95L_EC50n;95H_EC50n;EC95n;SE_EC95n;95L_EC95n;95H_EC95n;EC05a;SE_EC05a;95L_EC05a;95H_EC05a;EC50a;SE_EC50a;95L_EC50a;95H_EC50a;EC95a;SE_EC95a;95L_EC95a;95H_EC95a;Respons_Range
Pb;SM_GP2-4_13;GP;SM;55.701;15.822;22.798;88.604;81.2276;5.5603;69.6642;92.7909;100.418;10.033;79.553;121.283;30.0036752;8.522614478;12.2802784;47.727072;43.66551152;2.989049827;37.44937592;49.88159336;53.9362136;5.388894731;42.72926767;65.14315953;1.802804258
Zn;SM_GP2-4_13;GP;SM;8.14944;0.21108;7.71047;8.58842;11.886;0.10775;11.66193;12.11007;17.3358;0.4249;16.4522;18.2194;6.135623072;0.158919793;5.805127423;6.46612625;7.6164218;0.069045049;7.472840138;7.760003462;9.77617754;0.239613853;9.277889;10.27446608;2.127238191
Ag;SM_GP2-4_19;GP;SM;17.9518;2.8266;12.0735;23.83;102.7839;4.4653;93.4979;112.0699;274.122;23.932;224.354;323.891;0.00459154;0.000722961;0.003088045;0.00609501;0.025816532;0.001121562;0.02348414;0.028148923;0.068685324;0.005996517;0.056215215;0.081155684;15.26988937
Cd;SM_GP2-4_19;GP;SM;4.41112;0.30961;3.76725;5.055;10.93295;0.42226;10.05483;11.81108;54.9456;8.8027;36.6394;73.2517;3.108876008;0.218207417;2.655088309;3.562670755;7.516980905;0.290326065;6.913226998;8.120741687;37.26513104;5.970155372;24.84952466;49.6806696;12.45615626
Co;SM_GP2-4_19;GP;SM;5.15371;0.53719;4.03657;6.27086;19.34947;0.70159;17.89042;20.80851;72.647;8.7946;54.3576;90.9364;3.383390833;0.352663173;2.649992711;4.11679552;12.35936988;0.448136839;11.42740954;13.29132383;46.0593981;5.575921683;34.46361637;57.65517983;14.09605896
Cu;SM_GP2-4_19;GP;SM;1.704864;0.037586;1.6267;1.783028;2.222124;0.012025;2.197117;2.247132;2.579061;0.029813;2.517061;2.641061;6.71653512;0.148074972;6.4085978;7.02447244;8.34202467;0.045142776;8.248146466;8.435906628;9.463699193;0.109396894;9.236194163;9.691204222;1.512766414
Ni;SM_GP2-4_19;GP;SM;7.04151;0.52232;5.95528;8.12773;17.2366;0.43812;16.32547;18.14772;42.1927;2.8912;36.1801;48.2053;3.961116152;0.293824789;3.350070624;4.572156055;9.41752832;0.23937479;8.919715957;9.915335219;22.77403304;1.560561053;19.52865763;26.01940845;5.991996035
Pb;SM_GP2-4_19;GP;SM;42.7586;2.9661;36.4707;49.0466;81.1143;1.5532;77.8216;84.4069;116.2574;4.2964;107.1495;125.3654;23.07690272;1.600810157;19.6833104;26.47054901;43.60487336;0.834958685;41.8348061;45.37488686;62.41346048;2.306547296;57.52383146;67.30314318;2.71892438
Zn;SM_GP2-4_19;GP;SM;6.50677;0.22439;6.04013;6.97341;9.43566;0.11468;9.19717;9.67415;13.68293;0.41217;12.82577;14.54009;5.484632951;0.18914097;5.091296607;5.877969295;6.645352058;0.080766896;6.477388183;6.813315933;8.328545159;0.250880218;7.806807799;8.850282519;2.102875928
Ag;SM_GP2-4_20;GP;SM;59.4553;4.6809;49.7208;69.1897;87.7938;0.99483;85.72495;89.86266;109.3009;4.7909;99.3378;119.264;0.014975716;0.001179034;0.012523771;0.017427636;0.022066009;0.00025004;0.021546026;0.022585994;0.027447085;0.001203066;0.024945202;0.029948968;1.838371011
Cd;SM_GP2-4_20;GP;SM;4.22576;0.22738;3.75289;4.69863;10.46467;0.29129;9.85889;11.07045;52.513;6.0488;39.9338;65.0923;2.983591184;0.16054129;2.649722066;3.317460302;7.200470453;0.200429162;6.783648805;7.617292101;35.6209367;4.103058708;27.08813745;44.15380378;12.42687706
Co;SM_GP2-4_20;GP;SM;8.09029;0.55236;6.9416;9.23898;31.10124;0.90708;29.21486;32.98762;119.5615;8.3872;102.1194;137.0037;5.240190367;0.35777105;4.496168302;5.984212432;19.79001405;0.577183609;18.58969256;20.99033554;75.72343645;5.311974224;64.6766049;86.77033134;14.77839484
Cu;SM_GP2-4_20;GP;SM;2.018761;0.027928;1.960681;2.07684;2.436571;0.013665;2.408154;2.464989;2.70835;0.036512;2.632419;2.784282;7.702956443;0.106564456;7.481341447;7.924567622;9.015924368;0.05056393;8.910774334;9.121078101;9.869989875;0.133060007;9.593275934;10.14670746;1.341590213
Ni;SM_GP2-4_20;GP;SM;4.4445;0.22871;3.96887;4.92013;10.40671;0.20524;9.97989;10.83354;24.3671;1.3962;21.4635;27.2708;2.5711964;0.13231147;2.296038757;2.846354043;5.762171192;0.113640912;5.525841948;5.998505973;13.23377192;0.758276215;11.65682677;14.81077138;5.482528968
Pb;SM_GP2-4_20;GP;SM;41.7655;1.8855;37.7684;45.7626;86.0046;1.0924;83.6888;88.3204;129.0849;3.5028;121.6593;136.5105;22.5453956;1.017809996;20.38772478;24.70306642;46.22216192;0.587097547;44.97756242;47.46676142;69.27873848;1.879922169;65.29348381;73.26399315;3.090706444
Zn;SM_GP2-4_20;GP;SM;6.77864;0.18636;6.39107;7.1662;9.666561;0.095159;9.468667;9.864455;13.78484;0.33593;13.08622;14.48345;5.592375032;0.153746918;5.272629952;5.912111862;6.736858124;0.066318589;6.598941051;6.874775198;8.368932092;0.203946898;7.944791998;8.793066115;2.033570156
Ag;SM_GP2-4_16;GP;SM;1.8028;2.2145;-2.8917;6.4974;24.3947;8.5581;6.2522;42.5371;105.511;17.855;67.659;143.363;0.000551061;0.000676905;-0.000883904;0.001986056;0.006203554;0.002176318;0.00158993;0.010817153;0.026498852;0.004484243;0.016992407;0.036005298;58.5261815
Cd;SM_GP2-4_16;GP;SM;9.1057;3.1159;2.6258;15.5857;11.0111;1.0391;8.8502;13.172;15.43877;7.30012;0.25735;30.6202;6.28194263;2.149632103;1.811516408;10.75243784;7.56980249;0.714350225;6.084248258;9.055356722;10.56246464;4.994391353;0.176066505;20.94886962;1.695506112
Co;SM_GP2-4_16;GP;SM;7.1351;1.8946;3.1951;11.0751;27.9582;3.6109;20.4489;35.4674;109.551;35.286;36.17;182.933;4.63622373;1.231067466;2.076102429;7.196345031;17.80266986;2.299277514;13.02104627;22.58422978;69.3937973;22.35150324;22.91146268;115.8767654;15.35381424
Cu;SM_GP2-4_16;GP;SM;1.77864;0.18524;1.39341;2.16387;2.479853;0.067014;2.34049;2.619216;2.9893;0.1797;2.6156;3.363;6.9483762;0.723652458;5.443449423;8.453302977;9.151938053;0.247316263;8.637616622;9.666259483;10.75287525;0.646402731;9.408630952;12.09711955;1.680666127
Ni;SM_GP2-4_16;GP;SM;13.5816;9.9174;-7.0427;34.2059;13.6947;10;-7.1014;34.4909;13.8088;10.0833;-7.1606;34.7782;7.46137232;5.44835762;-3.869073367;18.79181801;7.52190344;5.492565328;-3.900490342;18.94435215;7.58296976;5.537147253;-3.932174647;19.09811417;1.016728515
Pb;SM_GP2-4_16;GP;SM;96.941;88.213;-86.507;280.39;130.252;73.593;-22.793;283.297;153.7783;76.6535;-5.6313;313.188;52.0753232;47.38676603;-46.47032715;150.6215107;69.9033704;39.49573702;-12.23249947;152.0392403;82.49464616;41.12090821;-3.020921033;168.010267;1.586308167
