Metal;Strain;Local;Species;EC;Conc;SE;95L;95H;Respons_Range
Zn;TB_GP2-4_9;GP;TB;EC05;4.254363194;3.247404524;3.544371929;4.964354459;
Ag;SM_GP2-4_13;GP;SM;EC50;0.03091796;0.001101901;0.028794037;0.033041882;
Cd;SM_GP2-4_13;GP;SM;EC50;8.529195227;0.400990802;7.96682615;9.091571063;
Co;SM_GP2-4_13;GP;SM;EC50;18.36946358;1.00138395;16.54628976;20.19270063;
Cu;SM_GP2-4_13;GP;SM;EC50;10.40069528;1.431560325;10.24982385;10.55159813;
Ni;SM_GP2-4_13;GP;SM;EC50;5.106524432;0.373804352;4.722170552;5.49087296;
Pb;SM_GP2-4_13;GP;SM;EC50;43.66551152;3.16837256;37.47677984;49.85418968;
Zn;SM_GP2-4_13;GP;SM;EC50;7.6164218;2.948701325;7.527622859;7.705220741;
Ag;SM_GP2-4_19;GP;SM;EC50;0.025816532;0.001217218;0.023493175;0.028139889;
Cd;SM_GP2-4_19;GP;SM;EC50;7.516980905;0.412805534;6.923459597;8.110508972;
Co;SM_GP2-4_19;GP;SM;EC50;12.35936988;0.568315357;11.43681257;13.28192087;
Cu;SM_GP2-4_19;GP;SM;EC50;8.34202467;1.396788563;8.263440173;8.42061231;
Ni;SM_GP2-4_19;GP;SM;EC50;9.41752832;0.426981824;8.929891544;9.905159744;
Pb;SM_GP2-4_19;GP;SM;EC50;43.60487336;1.02377264;41.84262032;45.36707288;
Zn;SM_GP2-4_19;GP;SM;EC50;6.645352058;2.951447684;6.550838471;6.739865645;
Ag;SM_GP2-4_20;GP;SM;EC50;0.022066009;0.000348906;0.021548382;0.022583638;
Cd;SM_GP2-4_20;GP;SM;EC50;7.200470453;0.324282911;6.791023751;7.609917155;
Co;SM_GP2-4_20;GP;SM;EC50;19.79001405;0.698246684;18.59725598;20.98277213;
Cu;SM_GP2-4_20;GP;SM;EC50;9.015924368;1.401942263;8.926623945;9.105227933;
Ni;SM_GP2-4_20;GP;SM;EC50;5.762171192;0.302344448;5.533737128;5.990610608;
Pb;SM_GP2-4_20;GP;SM;EC50;46.22216192;0.77715248;44.98274576;47.46157808;
Zn;SM_GP2-4_20;GP;SM;EC50;6.736858124;2.943711512;6.658432732;6.815283517;
Ag;SM_GP2-4_16;GP;SM;EC50;0.006203554;0.002241237;0.0016643;0.010742782;
Cd;SM_GP2-4_16;GP;SM;EC50;7.56980249;0.82972769;6.10925018;9.0303548;
Co;SM_GP2-4_16;GP;SM;EC50;17.80266986;2.40787207;13.05453947;22.55073702;
Cu;SM_GP2-4_16;GP;SM;EC50;9.151938053;1.569591495;8.713989825;9.58988628;
Ni;SM_GP2-4_16;GP;SM;EC50;7.52190344;5.5445;0.0001;18.65202968;
Pb;SM_GP2-4_16;GP;SM;EC50;69.9033704;39.5794736;0.0001;151.8130544;
Zn;SM_GP2-4_16;GP;SM;EC50;8.09487479;3.135192179;7.618240817;8.571508763;
Ag;TB_GP2-4_11;GP;TB;EC50;0.105249052;0.072577936;0.0001;0.255974536;
Cd;TB_GP2-4_11;GP;TB;EC50;3.319826426;0.160529239;3.250929911;3.38872294;
Co;TB_GP2-4_11;GP;TB;EC50;20.43974024;3.14424865;14.16024248;26.71917477;
Cu;TB_GP2-4_11;GP;TB;EC50;7.98181875;1.43398005;7.8258879;8.1377496;
Ni;TB_GP2-4_11;GP;TB;EC50;3.62187428;0.680821832;2.606353688;4.637400224;
Pb;TB_GP2-4_11;GP;TB;EC50;30.47764832;1.60708712;27.47881568;33.47642744;
Zn;TB_GP2-4_11;GP;TB;EC50;6.75621302;3.062423573;6.430918091;7.081511912;
Ag;TB_GP2-4_13;GP;TB;EC50;0.057948742;0.007652037;0.042243438;0.073653796;
Cd;TB_GP2-4_13;GP;TB;EC50;2.718820877;0.219754976;2.526750374;2.91089138;
Co;TB_GP2-4_13;GP;TB;EC50;24.71313979;3.13248787;18.45811204;30.96823077;
Cu;TB_GP2-4_13;GP;TB;EC50;11.18726303;2.1989274;9.4405044;12.93402165;
Ni;TB_GP2-4_13;GP;TB;EC50;7.82241824;0.96805832;6.20964656;9.43524344;
Pb;TB_GP2-4_13;GP;TB;EC50;29.24187152;1.02222056;27.48299024;31.0007528;
Zn;TB_GP2-4_13;GP;TB;EC50;10.2022793;4.03565315;7.8530129;12.5515457;
Ag;TB_GP2-4_16;GP;TB;EC50;0.09138522;0.006331481;0.078426111;0.104344329;
Cd;TB_GP2-4_16;GP;TB;EC50;2.968707866;0.234023225;2.746978871;3.190436861;
Co;TB_GP2-4_16;GP;TB;EC50;17.5660632;3.11269688;11.35213495;23.77999145;
Cu;TB_GP2-4_16;GP;TB;EC50;10.58883675;2.342382525;8.5437606;12.63388148;
Ni;TB_GP2-4_16;GP;TB;EC50;7.878191432;0.489792896;7.259933744;8.49644912;
Pb;TB_GP2-4_16;GP;TB;EC50;31.6804568;1.629512;28.6340984;34.7268152;
Zn;TB_GP2-4_16;GP;TB;EC50;9.03069761;3.37307918;8.05932668;10.00206854;
Ag;TB_GP2-4_9;GP;TB;EC50;0.064353862;0.005295903;0.053548475;0.075159249;
Cd;TB_GP2-4_9;GP;TB;EC50;3.619788818;0.362444225;3.136648739;4.102935656;
Co;TB_GP2-4_9;GP;TB;EC50;12.90677096;2.95689816;7.01695969;18.79658223;
Cu;TB_GP2-4_9;GP;TB;EC50;10.57479606;1.532626268;10.21371967;10.93587245;
Ni;TB_GP2-4_9;GP;TB;EC50;6.97514312;1.2650408;4.70139944;9.24883328;
Pb;TB_GP2-4_9;GP;TB;EC50;31.3293656;8.332892;14.072912;48.5858192;
Zn;TB_GP2-4_9;GP;TB;EC50;7.71890498;3.20374019;7.09972586;8.3380841;
Ag;SM_GP2-4_13;GP;SM;EC95;0.057494129;0.003187968;0.050947896;0.064040361;5.629400404
Cd;SM_GP2-4_13;GP;SM;EC95;31.54492175;4.12764656;23.3222603;39.7675832;7.84888335
Co;SM_GP2-4_13;GP;SM;EC95;57.4015955;6.5084008;44.126457;70.676734;9.855590601
Cu;SM_GP2-4_13;GP;SM;EC95;11.72355265;1.542666555;11.34159749;12.10550781;1.461455089
Ni;SM_GP2-4_13;GP;SM;EC95;16.51893656;1.73505344;13.24886456;19.78900856;11.03844693
Pb;SM_GP2-4_13;GP;SM;EC95;53.9362136;5.5621616;42.7692656;65.1031616;1.802804258
